"japanese","english","context","notes"
"でも、特定の誰かを/特別扱いしたりはしない子だよ。/優秀なマネージャーだからね。","But she doesn't treat anyone, /specially. /She's an excellent manager.","Portrait: !p0600!e00",""
"でも、男の子の前に新しい女の子が現れて、/幼なじみの女の子は、大事なものを/盗られちゃった気分になったの。","But a new girl appeared before the boy, /and the childhood friend felt  /something precious was taken.","Portrait: !p0503!e00",""
"でも、私、風間醍醐の妹だってことを/クラスのみんなにはナイショにしてるから/持って行きづらくて……。","But I'm keeping it secret from the class  /that I'm Daigo's sister, /so it's hard to bring...","Portrait: !p1100!e00",""
"でも、私からすれば委員長とひなたは/どっちもどっちなんだけどね。","But to me, Chairperson and Hinata are,  /both the same.","Portrait: !p0000!e00",""
"でも、私のバイクを見て、/ハンドルは、オニハンでないとダメだとか、/タンクの色はムラサキにしなとか……","But when he sees my bike, /says the handle must be Onihan,  /or the tank should be purple ...","Portrait: !p1100!e00",""
"でも、私の戦いは始まったばかり！/女総番長を目指して/暴れまくるわよ！","But my fight's just begun ! /I'll aim for female boss /and go wild !","Portrait: !p0000!e00",""
"でも、私は一緒に行く相手も/いないのよね。","But I've got no one /to go with either.","Portrait: !p0000!e00",""
"でも、誰かに袋にでも入れられて、/連れていかれてしまったのではないかと/心配で……。","But I'm worried someone might have put him in a bag,  /and taken him away ...","Portrait: !p2503!e00",""
"でも、醍醐先輩！","But Daigo !","Portrait: !p0000!e00",""
"でも、隼人先生と/キャンプファイアーを見たのは、/これが初めてですよ。","But this is the first time/seeing the campfire/with Hayato-sensei.","Portrait: !p0000!e00",""
"でもそれって、/ケガ人が急に来た時とか困りませんか？","But isn't that a problem  /if someone gets hurt?","Portrait: !p0000!e00",""
"でもそれって、いつものひなたと/そんなに変わらないような気もするけど。","But that doesn't seem much different, /from usual Hinata.","Portrait: !p0000!e00",""
"でもな……。","But...","Portrait: !p0000!e00",""
"でもなぁ……。","But...","Portrait: !p0000!e00",""
"でもね……","But...","Portrait: !p1101!e00",""
"でもね、ひとつだけ/絶対、変わらないことがあるの。","But there's one thing /that won't change.","Portrait: !p1101!e00",""
"でもねぇ……。","But...","Portrait: !p0000!e00",""
"でもよ、/もう高校生活のうち、/半分が終わっちまったんだよなぁ……","But,  /half of high school life,  /is already over...","Portrait: !p0100!e00",""
"でもコレ、掃除とか大変そうじゃない？/考えただけでも嫌なんだけど……。","But isn't this hard to clean? /Just thinking about it bugs me ...","Portrait: !p1803!e00",""
"でも不思議だよね。/!0の顔を見た途端に、/そんなの全部どっかいっちゃった！","But it's strange. /The moment I saw  !0's face, /all that disappeared!","Portrait: !p0201!e00",""
"で？/この写真って、誰が撮ったの？","So? /Who took this photo?","Portrait: !p0000!e00",""
"で？　/この写真って、誰が撮ったんだ？","So? /Who took this photo?","Portrait: !p0000!e00",""
"と、とにかくぅ！/せんぱぁいは、帰らずに/待ってなきゃダメですよぉー！","A-anyway! /Senpai has to wait,  /without going home!","Portrait: !p2401!e00",""
"と、とにかく不幸な目に合うのよ！","A-anyway, you'll have bad luck!","Portrait: !p2102!e00",""
"と、とんでもないです！/それじゃ、し、失礼しま〜す！！","O-outrageous! /W-well then, excuse me! !","Portrait: !p0000!e00",""
"と、とんでもないです！/それじゃ、し、失礼しまーす！！","O-outrageous! /W-well then, excuse me! !","Portrait: !p0000!e00",""
"と、特訓！？","T-training!?","Portrait: !p1403!e00",""
"というわけで、/キャンプファイアーが一番ね！/わかった？","So, /the campfire is best!  /Got it?","Portrait: !p2100!e00",""
"とうぜんですぅ！/ふかこーりょくなんですぅ！/てんぺんちいなんですぅ！","Of course ! /Deep and powerful !  /Perfect !","Portrait: !p2402!e00",""
"とぉおおおおおおぉぉぉおおぉ！！！/（バクバクバクバクバク……ゴックン！）","Whooooa ! ! !，(Chomp chomp chomp chomp chomp... gulp !)","Portrait: !p0000!e00",""
"とぉりゃぁっ！","Take this !","Portrait: !p0000!e00",""
"とかなんとかいって、/一緒に行く人いないんでしょ？/でも、安心して！　１人で来ても大丈夫よ！","You say this, but /you have no one to go with, right? /Don't worry ! It's fine alone !","Portrait: !p2100!e00",""
"ところで、/ももちゃんの作ったお化け屋敷の道具が/どんなのか見せて欲しいな。","By the way, /I'd like to see the props  /Momo-chan made for haunted house.","Portrait: !p0000!e00",""
"ところで、/ももの作ったお化け屋敷の道具が/どんなのか見せてよ。","By the way, /show me what Momo made /for the haunted house.","Portrait: !p0000!e00",""
"となりのテニス部は、/部室でお化け屋敷を/やってるみたいだけど……","Next-door tennis club /runs a haunted house /in their room...","Portrait: !p0503!e00",""
"とにかく、そこは無しだ。/特に、あてもなく歩くのも悪くないだろう。/では、また後でな。","Anyway, forget that.  /Wandering aimlessly isn't bad. /Later.","Portrait: !p1900!e00",""
"とにかく！　そんなことは、/これからキャンプファイアーに行って、/思い切り遊んで忘れてしまえばいいんじゃ！","Anyway! Things like that, /just go to the campfire and, /have fun and forget about it!","Portrait: !p1201!e00",""
"とはいってもなぁ……","Even so...","Portrait: !p0000!e00",""
"とはいってもねぇ……","Even so...","Portrait: !p0000!e00",""
"とりあえず、/キミに必要なのは気分転換だな。/僕と一緒にキャンプファイアーに行こう！","For now, what you need is a change of pace. /Let's go to the campfire together !","Portrait: !p0301!e00",""
"とりあえず、/キャンプファイアーに行きましょうか。","For now,  /shall we go to the campfire?","Portrait: !p1400!e00",""
"とりあえず、/キャンプファイアーを見に行って、/そんな気分を吹き飛ばしちまえ！！","For now, go see the campfire and, /blow away that mood ! !","Portrait: !p0100!e00",""
"とりあえず、/今はキャンプファイアーでも見て/気を紛らわせるのが一番ですよ。","For now, watching the campfire, /to distract yourself is best.","Portrait: !p0901!e00",""
"とりあえず、/無益なケンカをせずに済んだんだ。/いちおう、礼をいっとくよ。","For now, we avoided a pointless fight.  /I'll thank you properly.","Portrait: !p2301!e00",""
"とりあえず、ゲームを開始したら、/!c01単位マス!c07、できれば!c02ボーナスマス!c07を/目指して進むことね。","For now, when the game starts, aim for, /  !c01Credit Spaces !c07, preferably  !c02Bonus Spaces!c07.","Portrait: !p1800!e00",""
"とりあえず、ミーと踊って/気分を入れ替えマショー！/そうすれば明日はハッピーね！！","For now, dance with Mee /to change your mood !  /Tomorrow will be happy! !","Portrait: !p0801!e00",""
"とりあえず、俺は好きだけどな。","For now, I like it.","Portrait: !p0000!e00",""
"とんだ邪魔が入ったな。/では、行くとするか。","What an interruption. /Well then, let's go.","Portrait: !p1901!e00",""
"ど、どうかな……？","H-how is it...?","Portrait: !p1102!e00",""
"ど、どうしたの、アキラ？/そんなにムキになって……。","W-what's wrong, Akira?  /You're so worked up...","Portrait: !p0000!e00",""
"ど、どうしたのよ、エッジ？/そんなおっきな声出して……。","W-what's wrong, Edge? /Shouting so loud ...","Portrait: !p0000!e00",""
"ど、どうしたんだよ、アキラ？/そんなにムキになってさ……。","W-what's wrong, Akira?  /You're so worked up...","Portrait: !p0000!e00",""
"ど、どうしたんですか、/隼人先生！？/トツゼン叫ばないで下さいよ。","W-what's wrong, Hayato-sensei !?  /Don't suddenly shout.","Portrait: !p0000!e00",""
"ど、どうしてって……、/ちっちゃくて、かわいくて、/よくなついてくれて……","W-why...  /small, cute, and,  /very friendly...","Portrait: !p0000!e00",""
"ど、どうしてって……、/ちっちゃくて、かわいくて、/よくなついてくれてだな……","W-why...  /small, cute, and,  /very friendly...","Portrait: !p0000!e00",""
"ど、どうして！？/２００２年が目標だって、/あんなに頑張ってたじゃないか！？","W-why !?  /You were working so hard,  /toward 2002 !?","Portrait: !p0000!e00",""
"ど、どうして！？/２００２年が目標だって、/あんなに頑張ってたじゃない！？","W-why !?  /You were working so hard,  /toward 2002 !?","Portrait: !p0000!e00",""
"ど、どうだろ……？/まぁ、沖田先生の追っかけとかが/万一いれば……売れると思うけど……","H-how about it…? /If Okita-sensei fans /happen to be there ... might sell...","Portrait: !p0000!e00",""
