"japanese","english","context","notes"
"だから、俺も準備ができ次第、/ティファニーの後を追いかけていくよ！","So once I'm ready,/I'll chase after Tiffany!","Portrait: !p0000!e00",""
"だから、楽しみにしててね！/私が!0のために、/これからどう変わっていくのかを！！","So look forward to it！/How I'll change, /for !0 from now on！！","Portrait: !p0201!e00",""
"だから、私みたいに、/しかも２年から転校してきたら、/溶け込むのって、やっぱり難しくて。","So like me, /transferring in second year, /fitting in is really hard.","Portrait: !p1103!e00",""
"だから、私も準備ができ次第、/ティファニーの後を追いかけていくわ！","So once I'm ready,/I'll chase after Tiffany!","Portrait: !p0000!e00",""
"だからこうして、/俺が直々に監督してやってるのさ。/オイそこ！　もっと声を出して客を呼べ！！","That's why I'm supervising./Hey you! Call out louder！","Portrait: !p2001!e00",""
"だからそれは、/お相撲さんには取り柄ってわけよね。","So that's, /a sumo wrestler's strong point.","Portrait: !p0000!e00",""
"だからそれは、/力士には取り柄ってわけだよな。","So that's, /a sumo wrestler's strong point.","Portrait: !p0000!e00",""
"だからといって、コイツらを見捨てるのか？/それじゃ俺たち教師なんざ、/ただの置き物にすぎねぇ！","Does that mean we abandon them? /Then we teachers are just, /decorations！","Portrait: !p2000!e00",""
"だからよォ！/このオレの魂が/表現できてねェッつうか……","That's why!/My soul can't be expressed …","Portrait: !p1003!e00",""
"だから今日はいろいろ食べ歩いてんのさ。/朝練のやりすぎで腹減っちゃったからな。","That's why I'm eating around today./Morning practice made me hungry.","Portrait: !p0400!e00",""
"だから私は、/「真剣に」断らせてもらうわ。","So I'll seriously,/decline.","Portrait: !p1400!e00",""
"だから！　購買部の方が/ムチャクチャ忙しそうだったから、/手伝いに行こうと思ったんじゃねぇか！","That's why! The school store,/was super busy, so, /I thought I'd go help！","Portrait: !p0103!e00",""
"だが、/ウカツに生徒の店に顔を出すと、/不公平だの何だの言う奴がいるからな。","But if I visit student shops,/people complain about favoritism.","Portrait: !p2000!e00",""
"だが、たまには童心にかえって/遊ぶのもいいだろう。","But returning to childhood /and playing is fine.","Portrait: !p1901!e00",""
"だが心配するな！/ここからは、俺が/ついていってやるからな！","But don't worry!/From here, I'll/go with you!","Portrait: !p2001!e00",""
"だけど、/兄さんとは信じるものが/違うことを知ってしまった。","But I realized my bro and I /believe in different things.","Portrait: !p0303!e00",""
"だけど、僕は気に入っているんだ。/バツやひなたたちが騒がしい、/太陽学園って居場所がね。","However, I like it. /The place where Batsu and Hinata are noisy,/Taiyo Academy.","Portrait: !p0300!e00",""
"だけど、私はそれに答える事は出来ないわ。/なぜなら、私と一生を支えあうほどには、/あなたはまだ、たくましくはないのだから。","However, I can't answer that. /Because you're not yet strong enough, /to support me for life.","Portrait: !p1403!e00",""
"だけど、私はそれに答える事は出来ないわ。/なぜなら、私の一生をあずけるほどには、/あなたはまだ、たくましくはないのだから。","However, I can't answer that. /Because you're not yet strong enough, /to entrust my life to.","Portrait: !p1403!e00",""
"だったら……。","In that case…","Portrait: !p0000!e00",""
"だったら、/しっかり稼いでくるんだな！","In that case, /earn properly！","Portrait: !p0000!e00",""
"だったら、どうして顔が赤いんだよ？","Then why is your face red?","Portrait: !p0000!e00",""
"だったらだったら！/アンタがどうしてもっていうんなら……、/一緒に行ってあげてもいいわよ……。","Well then！/If you insist…/I could go with you...","Portrait: !p2102!e00",""
"だったらどうなんだよ！/ったく、余計なお世話だぜ！！","So what！/Mind your own business！！","Portrait: !p0102!e00",""
"だって……、/お化け屋敷、怖いんだもの……。","Because.../haunted houses are scary …","Portrait: !p2903!e00",""
"だって……、/無理に作っても、意味ないですから。","Because.../forcing it has no meaning.","Portrait: !p0000!e00",""
"だって……、/無理に作っても、意味ないもの。","Because.../forcing it has no meaning.","Portrait: !p0000!e00",""
"だって……。","Because...","Portrait: !p0000!e00",""
"だって、/アルコールの制限を受けたりしたら、/毎日の楽しみが減っちゃうじゃない。","Because if I had alcohol restrictions, /my daily fun would decrease.","Portrait: !p1402!e00",""
"だって、この前、/お弁当をパクパク食べてたら/みんなにビックリされちゃって……。","Because the other day, eating lunch,/everyone was surprised...","Portrait: !p1103!e00",""
"だって、ずっと楽しみにしてたんだもん。/昨日なんて、なかなか寝つけなくって！","Because I've been looking forward to it！/Yesterday I couldn't sleep!","Portrait: !p0201!e00",""
"だって、ねぇ。/チビだし。/補欠だし。","Because.../I'm short./I'm a sub.","Portrait: !p0000!e00",""
"だって、ゆりかさんって/やさしいし、美人だし、/上品で女の子らしいし……。","Because Yurika-san is, /kind, beautiful, refined, and girly...","Portrait: !p0000!e00",""
"だって、ゆりかさんを見てると/長い髪もいいなって思うんだもん。","Seeing Yurika-san, /I think long hair is nice too.","Portrait: !p1100!e00",""
"だって、売れ残ったら、/一緒にキャンプファイアーに/行けなくなっちゃうよ……。","Because if they don't sell, /we can't go to the campfire together …","Portrait: !p0000!e00",""
"だって、岩って、/いっつも食べてばかりだもんな！/あはははっ！","Because Iwa is always, /eating！/Ahahaha！","Portrait: !p0000!e00",""
"だって、岩って、/いっつも食べてばかりなんだもん！/あはははっ！","Because Iwa is always, /eating！/Ahahaha！","Portrait: !p0000!e00",""
"だって、待ちに待った大イベントだもん。/楽しまないと損でしょ？","It's the big event./Gotta have fun or miss out, right?","Portrait: !p0000!e00",""
"だって、通信教育のテキスト特別号に/「漢は黙って飛び道具！」とか載ってて、/どうしてもやってみたかったんだもん。","The special course issue had /'A man uses projectiles silently！' /and I really wanted to try it.","Portrait: !p0203!e00",""
"だってさ……。","Because...","Portrait: !p0000!e00",""
"だってさ、/外道高校をまとめた/あの醍醐先輩もそういう人だろ？","Because Daigo who unified /Gedou High is like that, right?","Portrait: !p0000!e00",""
"だってホラ、/エッジたちの外道高校をまとめた/醍醐先輩って、そういう人でしょ？","Because Daigo-senpai who,/unified Edge's Gedokou High is like that, right?","Portrait: !p0000!e00",""
"だって私、「晴れ女」だもん！/昔っから大きなイベントがあるときに/雨が降った事は一度もないんだから。","Because I'm a 'sunny girl'!/It's never rained during big events, /since forever.","Portrait: !p0201!e00",""
"だめだよ。/私だって直せるよ。/そのくらい……。","No. /I can fix it too./That much…","Portrait: !p1100!e00",""
"だれだ？/僕の後ろに立つのは。","Who is it standing behind me?","Portrait: !p0303!e00",""
"だーっ、またかよ！！/あんな退屈なのは/もうコリゴリだぜぇっ！！！","Dammit, again!！/I'm sick of, /that boring stuff!！！","Portrait: !p0103!e00",""
"ち、違いますよ。/そんなつもりじゃ……ないです。","N-no, that's not it. /I didn't mean…","Portrait: !p0000!e00",""
"ち、違うわよ！/そんなんじゃないわよ！","N-no！/That's not it！","Portrait: !p2103!e00",""
