"japanese","english","context","notes"
"さぁ、行くぞ！","Let's go！","Portrait: !p1901!e00",""
"さぁ、行くぞ！/グズグズするんじゃねぇ！！","Well then, let's go！/Don't dawdle！！","Portrait: !p2000!e00",""
"さぁ、行くぞ！　ロベルト！/グズグズしてると、/ロベルトのオゴリってことにしちまうぞ！","Well then, let's go！ Roberto!/If you dawdle, /I'll make Roberto treat us！","Portrait: !p0000!e00",""
"さぁ、行くよ！　ロベルト！/グズグズしてると、/ロベルトのオゴリってことにしちゃうよ！","Well then, let's go！ Roberto!/If you dawdle, /I'll make Roberto treat us！","Portrait: !p0000!e00",""
"さぁ、行こう！","Let's go！","Portrait: !p0000!e00",""
"さぁ、行こっ！","Let's go！","Portrait: !p0000!e00",""
"さぁ、話し込んでる時間が勿体ないですよ。/頑張りましょ、隼人先生！！","Chatting is a waste of time. /Do your best, Hayato-sensei!！","Portrait: !p0000!e00",""
"さぁ、話し込んでる時間が勿体ないですよ。/頑張りましょう、隼人先生！！","Chatting is a waste of time. /Do your best, Hayato-sensei!！","Portrait: !p0000!e00",""
"さぁ〜てと、/オレはそろそろ戻らねェとな！/またな！","Well then, /I need to get back soon！/See you!","Portrait: !p1001!e00",""
"さぁってと！/バリバリ売って、稼ぎまくるぜ！","Well then！/Sell hard and make money!","Portrait: !p1001!e00",""
"さぁてと！　これから忙しくなるなぁ。/いろんな国の言葉をマスターして、/パスポートの準備もしなきゃな！","Well then！ I'll be busy from now on. /Master various languages, and,/prepare my passport！","Portrait: !p0000!e00",""
"さぁてと！　これから忙しくなるわね。/いろんな国の言葉をマスターして、/パスポートの準備もしなきゃ！","Well then！ I'll be busy from now on. /Master various languages, and,/prepare my passport！","Portrait: !p0000!e00",""
"さあ、俺たちもフォークダンスを/踊りましょう！","Well then, let's dance the folk dance /too!","Portrait: !p0000!e00",""
"さあ、私たちもフォークダンスを/踊りましょう！","Well then, let's dance the folk dance /too!","Portrait: !p0000!e00",""
"さあ、結果が出たようね！","Well, results are in！","Portrait: !p1801!e00",""
"さあ、行くぞい！/ガハハハッ！","Let's go！/Gahahaha！","Portrait: !p1201!e00",""
"さあ！　そろそろ、/キャンプファイアーが始まる時間ね。","Well！ It's about time/for the campfire to start.","Portrait: !p1800!e00",""
"さくらちゃん、/最近どうしてるかなぁ……","I wonder how Sakura/has been lately.","Portrait: !p0200!e00",""
"さすが、!0！/じゃあ、決まりだな！/後で誘いに行くから待ってろよ！","As expected, !0！/It's decided!/I'll invite you later, wait！","Portrait: !p0601!e00",""
"さすがですね、先輩。/これからも期待してますよ、いろいろとね。/フフフ……。","As expected, senpai. /I'll count on you./Hehehe …","Portrait: !p1502!e00",""
