"japanese","english","context","notes"
"（なんだか、子供扱いされてるなぁ……。/　でも、まぁいいか。/　醍醐先輩と遊べるんだしな！）","(...treated like a child…  /but fine.  /can play with Daigo-senpai!)","Portrait: !p0000!e00",""
"（なんだか、子供扱いされてる気分……。/　でも、まぁいいか。/　醍醐先輩と遊べるんだし！）","(...feeling treated like a child…  /but fine.  /can play with Daigo-senpai!)","Portrait: !p0000!e00",""
"（なんだかなぁ……。/　芸術ってよくわかんないな）","(...somehow...  /don't understand art)","Portrait: !p0000!e00",""
"（なんだかなぁ……。/　芸術ってよくわかんないよな）","(...somehow...  /don't understand art)","Portrait: !p0000!e00",""
"（なんだろ？/　ランちゃん、何見てるのかしら？/　写真かな？）","(...what? /Ran-chan, what are you looking at? /a photo?)","Portrait: !p0000!e00",""
"（なんだ？/　ランのやつ、何見てるんだ？/　写真かな？）","(...what? /Ran, what are you looking at?  /a photo?)","Portrait: !p0000!e00",""
"（は、鼻血が……い、いかん。/　見ると身体に悪いぞ。/　さっさと持っていこう……）","(...n-nosebleed... n-not good.  /bad to look. /let's take it quick...)","Portrait: !p0000!e00",""
"（はぁ……怒らせちゃったなぁ。/　今度は言い方に気をつけよう……）","(...sigh… made them angry. /I'll be careful next time...)","Portrait: !p0000!e00",""
"（ひなたには悪いけど、/　みんなが作らせなかった気持ちは判る。/　あの出来じゃチョット……な）","(...sorry Hinata, but,  /understand why they didn't let you make it.  /that result...)","Portrait: !p0000!e00",""
"（ひなたには悪いけど、/　みんなが作らせなかった気持ちは判るわ。/　あの出来じゃチョット……ね）","(...sorry Hinata, but,  /understand why they didn't let you make it.  /that result...)","Portrait: !p0000!e00",""
"（ひなたに足りないところ……？/　そうだな……）","(...what Hinata lacks...? /yes...)","Portrait: !p0000!e00",""
"（ひなたに足りないところ……？/　そうね……）","(...what Hinata lacks...? /yes...)","Portrait: !p0000!e00",""
"（ひなたはうなだれて行ってしまった。/　……正直に言いすぎたのか……な？）","(...Hinata left dejected. /…was I too honest…?)","Portrait: !p0000!e00",""
"（ひなたはうなだれて行ってしまった。/　現実に打ちのめされたのか……な？）","(...Hinata left dejected. /crushed by reality ...?)","Portrait: !p0000!e00",""
"（ふぅ……この学園祭、/　最大の危機が去ったのかもしれない……）","(...phew… this festival, /biggest crisis may have passed ...)","Portrait: !p0000!e00",""
"（ふぅ……どんな形であれ、/　恭介に協力できてよかった）","(...phew… whatever form, /good I could help Kyosuke)","Portrait: !p0000!e00",""
"（ふぅ……相変わらず、/　バツにはヒヤヒヤさせられるけど……/　ま、何とかなってよかった）","(...phew… as usual,  /Batsu makes me nervous, but... /well, worked out)","Portrait: !p0000!e00",""
"（ふぅ、何とか笑顔を取り戻したな……）","(...phew, got the smile back…)","Portrait: !p0000!e00",""
"（ふぅ、何とか笑顔を取り戻したわ……）","(...phew, got the smile back…)","Portrait: !p0000!e00",""
"（ふざけてジャレあってるだけなのに、/　こうして写真で見ると、/　何かそれ以上のものに見えるな……）","(...just playing around, but, /seeing it in photos, /looks like something more...)","Portrait: !p0000!e00",""
"（ふざけてジャレあってるだけなのに、/　こうして写真で見ると、/　何かそれ以上のものに見えるわね……）","(...just playing around, but, /seeing it in photos, /looks like something more...)","Portrait: !p0000!e00",""
"（ふーん……。/　そういうもんかな……）","(...hmm...  /that's how it is ...)","Portrait: !p0000!e00",""
