"japanese","english","context","notes"
"フフフ……。/それでは、コンクールになりませんね。/審査員の皆さんまで、眠ってしまいそう。","Hehehe…/then it won't be a contest./even the judges will fall asleep.","Portrait: !p2501!e00",""
"フフフ……。/それもいいかもしれませんね。/試してみましょうか？","Hehehe…/that might be good too./Shall we try it?","Portrait: !p1502!e00",""
"フフフ……。/それもいいわね！/じゃあ、お願いね！","Hehehe…/that's fine too！/Well then, please！","Portrait: !p0501!e00",""
"フフフ……。/ちょっと休憩中！","Hehehe…/on a little break！","Portrait: !p0501!e00",""
"フフフ……。/でも、これならどうです？","Hehehe…/but how about this?","Portrait: !p0000!e00",""
"フフフ……。/で？　何のご用？","Hehehe…/and? What do you need?","Portrait: !p0000!e00",""
"フフフ……。/ねぇ、!0……。","Hehehe…/hey, !0…","Portrait: !p2102!e00",""
"フフフ……。/ねぇ、!0！","Hehehe…/hey, !0！","Portrait: !p0500!e00",""
"フフフ……。/ほら、しっかりしてください。","Hehehe…/come on, pull yourself together.","Portrait: !p2501!e00",""
"フフフ……。/まるで、人が蟻のようですね……。","Hehehe…/people are like ants …","Portrait: !p1503!e00",""
"フフフ……。/スクープってのは、意外なところに/あるものなのよ！","Hehehe…/scoops are found in unexpected places！","Portrait: !p2100!e00",""
"フフフ……。/ホント、物好きだねぇ、アンタは。","Hehehe…/really, you're strange.","Portrait: !p2301!e00",""
"フフフ……。/岩らしいね。","Hehehe…/that's so Iwa.","Portrait: !p0000!e00",""
"フフフ……。/流先輩って、プールのニオイがしますね。","Hehehe…/Nagare-senpai smells like the pool.","Portrait: !p0000!e00",""
"フフフ……。素敵でしょ？/クラスの皆さんとやる喫茶店の/衣装なんですよ。","Hehehe… lovely, right? /It's the costume for the cafe/with our class.","Portrait: !p2501!e00",""
"フフフ、それは乙女のヒミツねー！/知りたかったら、/ミーを追いかけてくるコトね！","Hehehe, that's a maiden's secret！/If you want to know, chase Mee！","Portrait: !p0801!e00",""
"フフフ、バレたか。/まぁいいじゃないか、堅物ボーマンより/このボクの方がよっぽど話がわかるぞ。","Hehehe, found out./Well, isn't it fine? I understand better than stiff Bowman.","Portrait: !p0701!e00",""
"フフーン、そうねぇ……","Hmm … yes…","Portrait: !p0000!e00",""
"フム……/確かにそういう意見もあるが、/それは浅い考え方だ。","Hmm …/such opinions exist, /but that's shallow thinking.","Portrait: !p1600!e00",""
"フリルのついた、/やたら乙女チックなエプロンなのさ……。","A frilly, overly girly apron…","Portrait: !p2302!e00",""
"フリーマーケットさ。/みんなからいらないモノを集めて、/クラスのヤツらで売るんだよ。","Flea market./Collecting unwanted items/and selling with the class.","Portrait: !p1000!e00",""
"フリーマーケットに出す品物を/提供してやる約束を/忘れていたのでな。","I forgot my promise to provide items for the flea market.","Portrait: !p1900!e00",""
"フレー！　フレー！　委員長！/フレー！　フレー！　い・い・ん・ちょー！/ワァーーーーーッッ！！","Go！ Go! Chairperson！/Go! Go! I-i-n-cho！/Waaaah！！","Portrait: !p0000!e00",""
"フン……見逃すとは大きく出たな。/言い換えれば、/いつでも阻止できるという事か？","Hmph… bold to let it pass. /Meaning, /you can stop it anytime?","Portrait: !p1603!e00",""
"フーン、そうだなぁ……","Hmm … yes…","Portrait: !p0000!e00",""
"ブッ！！/何ですか、流さん、/いきなり……。","Bam!！/What, Nagare-san,/suddenly …","Portrait: !p0000!e00",""
"ブッ！！/何ですか、流先輩、/いきなり……。","Bam!！/What, Nagare-senpai, /suddenly …","Portrait: !p0000!e00",""
"ブツブツ……ひと煮立ちさせて……/塩ひとつまみ……具体的に書いてよ……/……ブツブツブツブツ……","Mutter… bring to a boil…/pinch of salt… write specifically …/...mutter mutter …","Portrait: !p1403!e00",""
"ブツブツブツブツ…………","Mutter mutter mutter…","Portrait: !p0303!e00",""
"ブハッ！！/何だってんだ、突然！！","Bwah！！/What the, suddenly!！","Portrait: !p0103!e00",""
"ブラブラしにプールに来たらよ/金魚が泳いでたんで、眺めてたんだ。","Came to pool to hang out, /goldfish were swimming, so I watched.","Portrait: !p1000!e00",""
"プッ！/ナニ、これ〜〜っ！/小学生でも、もっとうまいよ！","Pfft！/What is this~~！ /Even elementary kids do better!","Portrait: !p0000!e00",""
"プッ！/何だよ、これ〜〜っ！/小学生でも、もっとうまいぞ！","Pfft！/What is this~~！ /Even elementary kids are better！","Portrait: !p0000!e00",""
"プレイする順番を決めるわよ。/!aボタンを押してね！","I'll decide play order. /Press　!a button!","Portrait: !p0100!e00",""
