"japanese","english","context","notes"
"つ、つきあう……？/（それってもしかして……ドキドキ）","G-go out...? (Could that be... heart pounding)","Portrait: !p0000!e00",""
"つ、つまり、/がんばるって気持ちがあれば、/大丈夫ってことで……","T-that means,　/if you have the will to do your best,　/it'll be okay...","Portrait: !p0000!e00",""
"ついででいいから持っていって/もらえるかな。ボーマンがいなくても/置いてきてくれればいい。","If you could take it along the way.　/Even if Bowman isn't there,　/just leave it.","Portrait: !p0700!e00",""
"つきあってくれてアリガト！！/またね！","Thanks for coming with me!!　/See you!","Portrait: !p0201!e00",""
"つまみ食い？/そんなちっぽけなコトで悩んでるのか？/これだからジャパニーズは……。","Snacking?、/You're worried about something that trivial?、/This is why Japanese people...","Portrait: !p0703!e00",""
"つまようじだけ、/他のクラスに分けてもらっておけば、/何とかなると思うけど。","If we just get toothpicks、/from other classes,　/we can manage.","Portrait: !p0000!e00",""
"つまらないなぁ……。/気が変わったら、また来るといいぞ。/僕は、いつまでも待っているぞ！","Boring...　/If you change your mind, come again.　/I'll wait forever!","Portrait: !p2802!e00",""
"つまらない手間を取らせたねぇ。/いつか、埋め合わせはさせてもらうよ。","Sorry for the trouble.　/I'll make it up to you someday.","Portrait: !p2301!e00",""
"つまらない話をしてしまいました。/それでは、失礼します。","I said something boring.　/Well then, excuse me.","Portrait: !p1500!e00",""
"つまんないのぉ〜〜。/しょうがないわね。/ホラ、カメラに顔近づけてみて！","Boring~~、/Can't be helped.　/Here, bring your face closer to the camera!","Portrait: !p2100!e00",""
"つらい思い出しかない山ですが、/今となっては無性に懐かしい……。","A mountain with only painful memories, but、/now I'm strangely nostalgic...","Portrait: !p1300!e00",""
"て、照れるぞい……。","E-embarrassing...","Portrait: !p1202!e00",""
"ていねいな口調で/接客してくださいましたよ。","They served customers、/with polite speech.","Portrait: !p2501!e00",""
"で、それは売れるのでしょうか？","So will that sell?","Portrait: !p0900!e00",""
"で、でも……。","B-but...","Portrait: !p2402!e00",""
"で、どうよ？/ティファニーとは一年前から/少しは進展があったのか？","So how is it?、/Have you made any progress with Tiffany、/since a year ago?","Portrait: !p0000!e00",""
