"japanese","english","context","notes"
"私も、ひなたと同じ気持ちだよ。","I feel the same as Hinata.","Portrait: !p0000!e00",""
"私も、ももちゃんを/誘おうと思ってたとこだよ。/さぁ、行こっ！","I was thinking of inviting/Momo-chan too./Let's go！","Portrait: !p0000!e00",""
"私も、多分、将馬のコト、好きよ。","I probably like Shoma too.","Portrait: !p0000!e00",""
"私も、髪を伸ばしてみようかな。","Maybe I'll grow my hair out.","Portrait: !p1100!e00",""
"私もいく/大変だね/いかないで","I'll go too /Tough /Don't go","Portrait: !pffff!e00",""
"私もお友達としてなら、/!0さんとこれからも/こうしてお付き合いできる……","As friends,/I can keep/being with !0-san like this…","Portrait: !p2500!e00",""
"私も九郎も、幼い頃から霧嶋家のために/働くための訓練を受けてきました。/戦う術、いえ、以上のことも……。","Kuro and I have trained for the /Kirishima family since childhood./Fighting techniques, and more…","Portrait: !p2503!e00",""
"私も努力しませんとね。","I must work hard too.","Portrait: !p2501!e00",""
"私も岩が、好きだから……。","I like Iwa too...","Portrait: !p0000!e00",""
"私も負けないように、/日々努力を怠らないようにしています。/いい刺激になっていますね。","So I don't lose, /I work hard every day./Good motivation.","Portrait: !p0901!e00",""
"私を……中心に……？","Me… center…?","Portrait: !p1800!e00",""
"私を……？","Me…?","Portrait: !p0000!e00",""
"私を？","Me?","Portrait: !p0000!e00",""
"私？/私は……、考えたこともないよ……。","Me? /I... never thought about it…","Portrait: !p1103!e00",""
"移動できるところがありません","No place to move","Portrait: !pffff!e00",""
"移動中は、!yボタンで視点切り替え、/ＬＲトリガーでルート検索ができるので、/上手く使ってね。","While moving,!y button switches view, /LR triggers search route,/use them well.","Portrait: !p1800!e00",""
"空きブロックがたりません。/　セーブには××ブロックの空き容量が必要です。/　　　　　何かボタンを押してください。","Not enough free blocks. /Save requires ×× blocks free. /Press any button.","Portrait: !pffff!e00",""
"空手なんてできない！ ハッハッハ！/でもバレー選手の運動能力を/ナメちゃいけないよ！　何とかなるさ！！","Can't do karate！ Hahaha！/But don't underestimate /volleyball athleticism! I'll manage！！","Portrait: !p2801!e00",""
"笑うと……、/笑うと天使みたいだし……。","When you smile.../you're like an angel.","Portrait: !p0000!e00",""
"笑うなんて、ヒドイなぁ……。/ザキのピンチだと思ったから、/危険をかえりみずに飛び出したのに……。","Laughing is cruel.../I thought Zaki was in danger, /so rushed out ignoring the risk…","Portrait: !p0000!e00",""
"第一、ゆりかさんが/そんな目にあっていいわけないもの！","First, Yurika-san/shouldn't go through that！","Portrait: !p0000!e00",""
"第一、ゆりかさんが/そんな目にあっていいわけないよ！","First, Yurika-san/shouldn't go through that！","Portrait: !p0000!e00",""
"簡単さ。/バツやひなたたちの行く所を/把握しておけばいいだけだよ。","Simple. /Just keep track of where /Batsu and Hinata go.","Portrait: !p0301!e00",""
"精神の鍛練……ですか？","Mental training? Huh?","Portrait: !p0000!e00",""
"約束する！/必ず連れていってやる！/世界にな！","I promise!/I'll take you!/Worldwide!","Portrait: !p0602!e00",""
"素朴な疑問なんだけど、/ザキって、何で聖純女学院に/入学したの？","Simple question, but /why did Zaki enroll/at Seijun?","Portrait: !p0000!e00",""
"素朴な疑問なんだけど、/ザキって、何で聖純女学院に/入学したんだ？","Simple question, but /why did Zaki enroll/at Seijun?","Portrait: !p0000!e00",""
"素直じゃないなぁ……、まぁいいけどね。/ね、将馬。/キャンプファイアー見に行かない？","Not honest… well fine. /Hey, Shoma./Want to see the campfire?","Portrait: !p0000!e00",""
"素直じゃないなぁ。まぁいいけど。/な、将馬。/キャンプファイアー見に行こうぜ！","Not honest. Well fine. /Hey, Shoma./Let's go see the campfire！","Portrait: !p0000!e00",""
"素直になれなくて、/いつもケンカばっかりしてるけど。","Can't be honest, /always fighting.","Portrait: !p0000!e00",""
"素直に理由を話して、/美術部に頼んだほうがいいぜ。","Better to honestly explain /and ask the art club.","Portrait: !p0000!e00",""
"素直に理由を話して、/美術部に頼んだほうがいいわよ。","Better to honestly explain /and ask the art club.","Portrait: !p0000!e00",""
"結婚するんですか、先生？","Getting married, sensei?","Portrait: !p0000!e00",""
"結婚相手がいるんですか、先生？","A marriage partner, sensei?","Portrait: !p0000!e00",""
