"japanese","english","context","notes"
"英雄先生、何悩んでるんですか？","Eiyu-sensei, what's troubling you?","Portrait: !p0000!e00",""
"英雄先生、捜し物ですか？","Eiyu-sensei, searching?","Portrait: !p0000!e00",""
"英雄先生。/忙しそうですね。","Eiyu-sensei./Looks busy.","Portrait: !p0000!e00",""
"英雄先生にピッタリの趣味ですね/人は見かけによらないですね/『深山幽谷』って感じですね","Perfect hobby for Eiyu-sensei /Don't judge by looks /Feels deep","Portrait: !pffff!e00",""
"英雄先生！/俺に先生のツープラトン技を/伝授してください！","Eiyu-sensei!/Please teach me/your Two-Platoon technique!","Portrait: !p0000!e00",""
"英雄先生！/私に先生のツープラトン技を/伝授してください！","Eiyu-sensei!/Please teach me/your Two-Platoon technique!","Portrait: !p0000!e00",""
"落ちこんでる暇もないぐらい、/アツい時間が過ごせるさ、きっと……","Can spend such hot times/there's no time to be down, surely …","Portrait: !p0301!e00",""
"落ち込んでるときに、/手を差しのべてもらえるのって/ウレシイものね。","When you're down、/having someone reach out、 /is nice.","Portrait: !p0503!e00",""
"行きますよ……。/ハァッ！！","I'll go …/Hah！！","Portrait: !p1303!e00",""
"行くぜ！/待ってろよ、/俺のライバル達！！","Let's go！/Wait for me、/my rivals！！","Portrait: !p0000!e00",""
"行くんだろ？/キャンプファイアーにさ！","Going, right? /To the campfire！","Portrait: !p0000!e00",""
"行くんでしょ？/キャンプファイアーに！","Going, right? /To the campfire！","Portrait: !p0000!e00",""
"行こう！/待ってて、/私のライバル達！！","Let's go！/Wait for me, /my rivals！！","Portrait: !p0000!e00",""
"衣装がどうしたのよ？","What about costumes?","Portrait: !p0000!e00",""
"衣装がどうしたんだよ？","What about costumes?","Portrait: !p0000!e00",""
"覇気が足りない/予算が足りない/これで十分","Lack spirit /Lack budget/This is enough","Portrait: !pffff!e00",""
"見かけたら声でもかけてくれ。/じゃあな……。","If you see me, say hi./Well then…","Portrait: !p2300!e00",""
"見せてもらっていいですか？/へー……、絵のことはよくわからないけど、/いい感じですね。","Can I see?、/Hmm… I don't know much about art, but、 /looks good.","Portrait: !p0000!e00",""
"見てて、!0！/アタシ全力でやってみるから！","Watch,　!0！/I'll do my best！","Portrait: !p0500!e00",""
"見てみろよ、九郎。/プールに金魚が泳いでるぞ。","Look, Kuro. /Goldfish swim in the pool.","Portrait: !p0000!e00",""
"見てよ、九郎。/プールに金魚が泳いでるよ。","Look, Kuro. /Goldfish swim in the pool.","Portrait: !p0000!e00",""
"見てろよ！/卒業するまでにオマエらを/まとめて抜いてやるからな！！","Watch me！/Before graduation I'll、 /surpass you all！！","Portrait: !p0103!e00",""
"見て下さい、この澄みきった青空を！/今日という日を祝福して下さった/神の恵みに他なりません。","Look at this clear blue sky!/God's blessing、 /for this day.","Portrait: !p0900!e00",""
