"japanese","english","context","notes"
"ゴメンゴメン！/で、何考えてたの？","Sorry!/Whatcha thinking?","Portrait: !p0000!e00",""
"ゴメンゴメン！/で、何考えてたんだ？","Sorry!/Whatcha thinking?","Portrait: !p0000!e00",""
"ゴメンゴメン！/最近練習ばっかりで、/全然遊んでなかったから、楽しくって！","Sorry sorry!/Lately it's all practice,/so no play, it's fun!","Portrait: !p0501!e00",""
"サ、サスカッチ！？","S-Sasquatch ！?","Portrait: !p0000!e00",""
"サッカーができなくなるよりはと思って、/あの頃は、ワラにもすがる思いだったよ。","Thinking it's better than not playing soccer, /back then I was desperate.","Portrait: !p0600!e00",""
"サッカーも商売も/戦略が大事だからな。","Soccer or business/strategy matters.","Portrait: !p0600!e00",""
"サッカー部の仲間がいるじゃない/私は興味ないな/私がいるじゃない","Soccer club friends are there /I'm not interested /I'm here","Portrait: !pffff!e00",""
"サッカー部の仲間がいるじゃないか/俺は興味ないな/俺がいるじゃないか","Soccer club friends are there /I'm not interested /I'm here","Portrait: !pffff!e00",""
"サンキュウ、!0。/おかげで助かったぜ。/逃げた１年は見つけて叱っといたから。","Thanks, !0. /You saved me./Found the runaway first-year and scolded.","Portrait: !p0400!e00",""
"サンキュー、!0！/ナイスアドバイス、アリガトね！！","Thanks, !0! /Nice advice, thanks!!","Portrait: !p0801!e00",""
"サンキューな！/!0！","Thanks! /  !0 ！","Portrait: !p1001!e00",""
"サンキュー！/実は、お腹ペコペコだったのよねぇ。","Thanks! /Actually, I was really hungry.","Portrait: !p0000!e00",""
"サンキュー！/実は、ハラペコだったんだ。","Thanks! /Actually, I was really hungry.","Portrait: !p0000!e00",""
"サンキュー！/恩に着るぜ、!0！！","Thanks! /I owe you,  !0 ！!","Portrait: !p0101!e00",""
"ザキ……、/懐かしい名前だな。","Zaki…/nostalgic name.","Portrait: !p1901!e00",""
"ザキ……。","Zaki…","Portrait: !p0000!e00",""
"ザキ……。/俺を待っててくれたのか？","Zaki…/Were you waiting for me?","Portrait: !p0000!e00",""
"ザキ……。/私を待っててくれたの？","Zaki…/Were you waiting for me?","Portrait: !p0000!e00",""
"ザキ、どうかしたのか？","Zaki, something wrong?","Portrait: !p0000!e00",""
"ザキ、どうかしたの？","Zaki, what's wrong?","Portrait: !p0000!e00",""
"ザキ、どこ行くの？","Zaki, where to?","Portrait: !p0000!e00",""
"ザキ、どこ行くんだ？","Zaki, where to?","Portrait: !p0000!e00",""
"ザキから/!c02届け物『派手なハンカチ』!c07をあずかった/!c01職員室・東!c07に届けよう！","Received delivery 'Flashy Handkerchief' from Zaki,/deliver to Staff Room East!","Portrait: !pffff!e00",""
"ザキが……、/フリフリのエプロン……ねぇ……。","Zaki…/frilly apron ... huh…","Portrait: !p0000!e00",""
"ザキがいたチームのみんなに/見せてあげようと思ってね！","I thought to show it to everyone on Zaki's team!","Portrait: !p0000!e00",""
"ザキがいたチームのみんなに/見せてやろうと思ってさ！","I thought to show it to everyone on Zaki's team!","Portrait: !p0000!e00",""
"ザキが歩いてくると、すぐわかるぞ。","I can tell/when Zaki's coming.","Portrait: !p0000!e00",""
"ザキが歩いてくると、すぐわかるよ。","I can tell/when Zaki's coming.","Portrait: !p0000!e00",""
"ザキって、子分がいっぱい/いるんだよな？","Zaki has lots of underlings, right?","Portrait: !p0000!e00",""
"ザキって、子分がいっぱい/いるんだよね？","Zaki has lots of underlings, right?","Portrait: !p0000!e00",""
"ザキとゆりかさんとは仲良くしてるよ。/でも、他のクラスメートとは、/あんまり仲良くなれなくって……。","I get along with Zaki and Yurika-san. /But I can't really get along with other classmates ...","Portrait: !p1103!e00",""
"ザキとゆりかさんのことですね。/ずいぶん仲良くしてるみたいですよ。","About Zaki and Yurika-san./You seem to get along well.","Portrait: !p0000!e00",""
"ザキと一緒なら行ってもいいぞ！/俺と行けば、１年中「姫」と/呼んでもらえる特典付きだ。","If you go with Zaki, that's fine! /Go with me and you get called 'Hime' all year!","Portrait: !p0000!e00",""
"ザキと一緒なら行ってもいいよ！/私と行けば、１年中「姫」と/呼んでもらえる特典付きだよ。","If you go with Zaki, that's fine! /Go with me and you get called 'Hime' all year!","Portrait: !p0000!e00",""
"ザキのクラスって、何をやるんだっけ？","What's Zaki's class doing again?","Portrait: !p0000!e00",""
"ザキのツープラトン技/!c03『ガンつけ１２０％』!c07を覚えた！","Learned Zaki's Tag-team move, /'Gun Point 120%'!","Portrait: !pffff!e00",""
"ザキは、キャンプファイアーに行くのか？","Is Zaki going to the campfire?","Portrait: !p0000!e00",""
"ザキは、キャンプファイアーに行くの？","Is Zaki going to the campfire?","Portrait: !p0000!e00",""
"ザキ！　暇そうだね。","Zaki! You bored?","Portrait: !p0000!e00",""
"シャツかしてみて。/私が直すよ。","Lend your shirt./I'll fix it.","Portrait: !p1100!e00",""
"シンバルとかも？/ゆりかさんがダイナミックにシンバルを/演奏する姿ってイメージ湧かないけど……。","Cymbals too?/I can't imagine Yurika-san playing cymbals dynamically ...","Portrait: !p0000!e00",""
"ジャスキャラの!c05友好度!c07を/強奪することができます","You can steal !c05Affinity!c07/from Justice Chars","Portrait: !pffff!e00",""
"ジャスキャラのターンです","Justice Character's turn","Portrait: !pffff!e00",""
"ジャスティス学園だって、/この一年で随分変わってきたでしょ。/雹クンだって感じてるんじゃないの？","Justice Academy has changed a lot this year, right? /Hail-kun feels it too, doesn't he?","Portrait: !p0000!e00",""
"ジャスティス学園だって、/この一年で随分変わってきましたよね。/雹さんだって感じてるんじゃないですか？","Justice Academy has changed a lot this year, right? /Hail-san feels it too, doesn't he?","Portrait: !p0000!e00",""
"ジャスティス学園の人なら、/学園祭より授業をしてほしいっていう/意見も多いんじゃないですか？","If you're from Justice Academy, /many probably want classes more than the festival, right?","Portrait: !p0000!e00",""
"ジャスティス学園の人なら、/学園祭より授業をしてほしいっていう/意見も多いんじゃない？","If from Justice Academy,/many probably want classes /over festival, right?","Portrait: !p0000!e00",""
"ジャパニーズがあるのに、/アメリカンがないのか？/ナンセンスだな！！","There's Japanese but no American? /Nonsense!!","Portrait: !p0703!e00",""
"スクーブね！","Scoop!","Portrait: !p2101!e00",""
"スクープ写真/男の写真/俺の写真","Scoop pic /Guy pic/My pic","Portrait: !pffff!e00",""
"スクープ写真/男の写真/私の写真","Scoop pic /Guy pic/My pic","Portrait: !pffff!e00",""
"スクープ写真か！？/やったじゃないか、ラン！/どんなのか見せてくれよ。","A scoop photo ！? /Nice work, Ran!/Show me what it looks like.","Portrait: !p0000!e00",""
"スクープ写真なの！？/やったわね、ランちゃん！/どんなのか見せてよ。","A scoop photo ！? /Nice work, Ran-chan! /Show me what it's like.","Portrait: !p0000!e00",""
"スケ番ザキが、フリフリのエプロンで/クッキーなんか売ってるんだから、/笑うしかないだろ？","Delinquent Zaki selling cookies in a frilly apron,/can't help but laugh, right?","Portrait: !p0000!e00",""
"スケ番ザキが、フリフリのエプロンで/クッキーなんか売ってるんだから、/笑うしかないよねぇ？","Delinquent Zaki selling cookies in a frilly apron,/can't help but laugh, right?","Portrait: !p0000!e00",""
"スゴいネ……/キャンプファイアーを見てると、/コトバが出なくなりマス……","Amazing.../watching the campfire, words fail me ...","Portrait: !p0800!e00",""
"スゴイじゃない、恭介！/プロ顔負けじゃない！/そこまでやるとは思わなかったわ！","Amazing, Kyosuke! /Rivals the pros! /I didn't think you'd go that far!","Portrait: !p0000!e00",""
"スゴイじゃないか、恭介！/プロ顔負けだよ！/そこまでやるとは思わなかったぜ！","Amazing, Kyosuke! /Rivals the pros! /I didn't think you'd go that far!","Portrait: !p0000!e00",""
"ステイツに直行するかどうかは、/これからの任務次第なんだが……。/どちらにしても、またしばらく会えないな。","Whether I go straight to States /depends on next mission... /Either way, won't meet for a while.","Portrait: !p0700!e00",""
"スパイクだって、/大事なオイラの相棒だ！","Spike is my important partner!","Portrait: !p0403!e00",""
"スマンのう！/よろしく頼むぞい。","Sorry!/Please help.","Portrait: !p1202!e00",""
"ズバリ！　変装するときよ！/こうしてかければ……、/ホラ！　もう誰だかわからない！","Exactly! When disguising! /Put it on like this... /See! Can't tell who it is!","Portrait: !p2100!e00",""
"ズバーンとバットふって、/カキーーンて飛ばす感じだよ。/わかるだろ？","Swing the bat with a whoosh,/send it flying with a crack. /Get it?","Portrait: !p0400!e00",""
"センスの違いかねぇ。/やっぱり、アタイに聖女の生徒は/勤まりそうにないねぇ……。","Difference in sense.../I guess I'm not cut out to be a Seijun student ...","Portrait: !p2300!e00",""
