"japanese","english","context","notes"
"ボーマンは、/ロイたちと一緒に/アメリカに帰るつもりはないのか？","Bowman, /not planning to go back to America /with Roy?","Portrait: !p0000!e00",""
"ボーマンは、/ロイたちと一緒に/アメリカに帰るつもりはないの？","Bowman, /not planning to go back to America /with Roy?","Portrait: !p0000!e00",""
"ボーマン！/……あれ？/その男の子はどうしたの？","Bowman！/…Huh?/What happened to that boy?","Portrait: !p0000!e00",""
"ボーマン！/……あれ？/その男の子はどうしたんだ？","Bowman！/…Huh?/What happened to that boy?","Portrait: !p0000!e00",""
"ボーマン！/……どうしたの？/そんなにたくさん本を抱えて。","Bowman！/…What's wrong?/Carrying so many books.","Portrait: !p0000!e00",""
"ボーマン！/あなたのツープラトン技を/教えてちょうだい！","Bowman！/Teach me your Tag-team move！","Portrait: !p0000!e00",""
"ボーマン！/お前のツープラトン技を教えてくれ！","Bowman！/Teach me your Tag-team move！","Portrait: !p0000!e00",""
"マ、マジかよォ！？","F-for real！?","Portrait: !p1002!e00",""
"マジか？/!0、/オマエってケーキ作れるのか？","For real? /!0, /Can you make cake?","Portrait: !p0100!e00",""
"マジ！？","Really?","Portrait: !p0000!e00",""
"マジ？","Srsly?","Portrait: !p0000!e00",""
"マスには、大きく分けて、/パラメータが上がったり/下げられたりするマス。","Spaces broadly divided into/spaces that raise or lower /parameters.","Portrait: !p1800!e00",""
"マスには手に入る技のコマンドが/表示されているわ。赤く表示されているのは/もう持っているってコトね。","Spaces show technique commands you can /get. Red ones are ones you already /have.","Portrait: !p1800!e00",""
"マスの効果については、/取り扱い説明書を見てね。/他に聞きたいことはある？","For space effects, check the manual. /Anything else you want to know?","Portrait: !p1800!e00",""
"マスク？/ああ、ザキのことですね。/本名は、姫崎　葵っていうんですけどね。","Mask? /Ah, Zaki. /Real name is Himazaki Aoi.","Portrait: !p0000!e00",""
"ミュージックスタート！","Music start!","Portrait: !p1801!e00",""
"メインメニューでは、!c04カード!c07の使用や、/情報の確認、セーブなどができるわ。","In the main menu, you can use !c04Cards !c07, /check info, save, etc.","Portrait: !p1800!e00",""
"メモリーカードにファイルを作成します。/　　　　　　　　よろしいですか？/　　　　　　はい：Ａ　　いいえ：Ｂ","Create file on memory card. /Is this OK? /Yes: A No: B","Portrait: !pffff!e00",""
"メモリーカードのファイルをロードします。/　　　　　/　　　　　　 はい：Ａ　　いいえ：Ｂ","Load memory card file. /, /Yes: A No: B","Portrait: !pffff!e00",""
"メモリーカードの認識中です。/　　　　　　　　電源を切ったり/　　メモリーカードを抜いたりしないで下さい。","Recognizing memory card. /Do not turn off power or, /remove memory card.","Portrait: !pffff!e00",""
"メモリーカードを認識できませんでした。/　　メモリーカードの接続を確認して下さい。/　　　　　何かボタンを押してください。","Could not recognize memory card. /Please check memory card connection. /Press any button.","Portrait: !pffff!e00",""
"モグ…ほれはぁ……、/ザキ…が好きたぁからに……/決まってむ…だもぉ……！","Munch... because.../I like Zaki…/of course…！","Portrait: !p0000!e00",""
"モグ…ほれはぁ……、/ザキ…が好きたぁからに……/決まってむ…ちゃなひ……！","Munch... because.../I like Zaki…/of course…！","Portrait: !p0000!e00",""
"モグモグ……/おっ、コレすごくおいしいですね！/さすが、英雄先生！","Munch munch.../Oh, this is great!/As expected, Shimazu-sensei！","Portrait: !p0000!e00",""
"モグモグ……/わっ、コレすごくおいしー。/さっすが、英雄先生！","Munch munch.../Wow, this is great./As expected, Shimazu!","Portrait: !p0000!e00",""
"モグモグ……、ウ、ウン！/だから、ザキが好きだからに/決まってるじゃない！","Munch munch... yes!/Because I like Zaki, /of course！","Portrait: !p0000!e00",""
"モグモグ……、ウ、ウン！/だから、ザキが好きだからに/決まってるだろ！","Munch munch... yes!/Because I like Zaki, /of course！","Portrait: !p0000!e00",""
"モチロンありますけど……/なんでそれを響子先生が運んでるんです？","Of course there is…/why is Kyoko-sensei carrying it?","Portrait: !p0000!e00",""
"モテモテですねぇ、修一さん。","You're popular, Shuuichi.","Portrait: !p0000!e00",""
"モテモテですねぇ、修一先輩。","You're popular, Shuuichi.","Portrait: !p0000!e00",""
"モノがモノだけに、/できるだけ急いでくれ。/頼んだぜ！","Given what it is, /hurry please. /Please！","Portrait: !p2001!e00",""
"ヤッホー、!0！/ちゃんと届けてくれたわね！","Yahoo,!0 ！/You delivered it properly！","Portrait: !p2101!e00",""
"ヤッホー、!0！/学園祭の雰囲気、/ちゃーんと楽しんでる？","Yahoo,!0 ！/Are you enjoying/the fest atmosphere?","Portrait: !p0201!e00",""
"ヤッホ！ 姫っ！","Yahoo! Hime！","Portrait: !p0000!e00",""
"ユーはなんてコト言うネー！/パパはあんなダルマサンとは違うヨ！/全くシツレイするネ！！","How can you say that！/Papa is different from that Daruma！/So rude！！","Portrait: !p0803!e00",""
"ラン……。/ありがとな。/意外とは余計だけど。","Ran-/thanks. /'Unexpected' was unnecessary.","Portrait: !p0000!e00",""
"ラン……。/お前、昨日寝てないだろ……？","Ran.../You didn't sleep last night...?","Portrait: !p0000!e00",""
"ランから/!c02届け物『カメラバッグ』!c07をあずかった/!c01新聞部部室!c07に届けよう！","Received delivery 'Camera Bag' from/Ran, deliver to Newspaper Club Room！","Portrait: !pffff!e00",""
"ランちゃん……。/あなた、昨日寝てないでしょ……？","Ran-chan…/You didn't sleep last night...?","Portrait: !p0000!e00",""
"ランちゃん……。/ありがとね。/意外とは余計だけど。","Ran-chan…/Thanks. /'Unexpected' is unnecessary.","Portrait: !p0000!e00",""
"ランちゃん、なにやってるの？/屋上からも撮るの？","Ran, whatcha doing?/Photos from the roof?","Portrait: !p0000!e00",""
"ランちゃんか……。/ありがとね……。","Ran-chan…/Thanks …","Portrait: !p0000!e00",""
"ランちゃんのお役に立ててよかったわ。","I'm glad I could help Ran-chan.","Portrait: !p0000!e00",""
"ランちゃん！/なによ、ピンピンしてるじゃない！/追っ手はどうしたのよ？　追っ手は！","Ran-chan！/What, you're fine！/What about the pursuers? Pursuers！","Portrait: !p0000!e00",""
"ランちゃん！/なんか気合い入ってるね。","Ran-chan！/You're fired up.","Portrait: !p0000!e00",""
"ランのお役に立ててよかったよ。","I'm glad I could help Ran.","Portrait: !p0000!e00",""
"ランのツープラトン技/!c03『いただきスクープ』!c07を覚えた！","Learned Ran's Tag-team move, /'Gotcha Scoop'！","Portrait: !pffff!e00",""
"ラン！/なんだよ、ピンピンしてるじゃないか！/追っ手はどうしたんだよ？","Ran!/What, you're fine！/What about the pursuers?","Portrait: !p0000!e00",""
"ルールの説明は聞く？","Hear the rules?","Portrait: !p1800!e00",""
"ルーレットはボタンを長く押すと、/より長く回るわよ。/出た目に応じて、ＭＡＰを移動してね。","Hold the button longer to spin more. /Move on the MAP according to result.","Portrait: !p1800!e00",""
"ルーレットを回して移動します","Spin roulette to move","Portrait: !pffff!e00",""
"ルーレットを選択してください/!c03▲：走り　５〜１０移動!c02（ＨＰ−!0!c02）/!c05▼：歩き　１〜　６移動!c07","Select roulette/!c03A: Run 5-10 spaces !c02(HP- !0!c02) /!c05B: Walk 1-6 spaces !c07","Portrait: !pffff!e00",""
"ロ、ロイ〜！！","R-Roy~！！","Portrait: !p0000!e00",""
"ロ、ロベルト……。","R-Roberto...","Portrait: !p0000!e00",""
"ロ、ロベルト！/お、俺が代わりに何でもしてやるよ！/そ、そ、それでいいだろっ！","R-Roberto!/I-I'll do anything instead!/T-that's fine！","Portrait: !p0000!e00",""
"ロ、ロベルト！/わ、私が代わりに何でもしてあげる！/そ、そ、それでいいでしょっ！","R-Roberto!/I-I'll do anything instead!/T-that's fine！","Portrait: !p0000!e00",""
"ロイ……。","Roy...","Portrait: !p0000!e00",""
"ロイ……。/待っててくれたんだ。","Roy.../You were waiting.","Portrait: !p0000!e00",""
"ロイ……身体に気を付けてね。","Roy, take care of yourself.","Portrait: !p0000!e00",""
"ロイ……身体に気を付けろよ。","Roy, take care of yourself.","Portrait: !p0000!e00",""
"ロイ、そんなにこそこそして/どうしたの？","Roy, why are you sneaking around?","Portrait: !p0000!e00",""
"ロイ、そんなにこそこそして/どうしたんだ？","Roy, why are you sneaking around?","Portrait: !p0000!e00",""
"ロイ、むこうの生活はどうだ？/うまくいってるか？","How's life over there, Roy?/Going well?","Portrait: !p0000!e00",""
"ロイ、むこうの生活はどう？/うまくいってる？","How's life over there, Roy?/Going well?","Portrait: !p0000!e00",""
"ロイ〜……。/バツのお母さん、口説いてたのか？","Roy~…/Were you hitting on Batsu's mother?","Portrait: !p0000!e00",""
"ロイ〜……。/バツのお母さん、口説いてたの？","Roy~…/Were you hitting on Batsu's mom?","Portrait: !p0000!e00",""
"ロイ〜。/お腹空いた〜。","Roy~. /I'm hungry~.","Portrait: !p0000!e00",""
"ロイから/!c02届け物『ロイの腕時計』!c07をあずかった/!c01２−Ｅの教室!c07に届けよう！","Received delivery 'Roy's Watch' from/Roy, deliver to Class 2-E!","Portrait: !pffff!e00",""
"ロイじゃない。/うれしいな、待っててくれたんだ。","Not Roy./Glad you waited for me.","Portrait: !p0000!e00",""
"ロイじゃないか。/うれしいな、待っててくれたんだ。","Isn't that Roy./Glad you waited for me.","Portrait: !p0000!e00",""
"ロイのツープラトン技/!c03『Ｗライジングトルネード』!c07を覚えた！","Learned Roy's Tag-team move, /'W Rising Tornado'！","Portrait: !pffff!e00",""
"ロイの舞台、今年も観たかったなぁ。","Wish I saw Roy's show this year.","Portrait: !p0000!e00",""
"ロベルト……","Roberto...","Portrait: !p0000!e00",""
"ロベルト……。","Roberto...","Portrait: !p0000!e00",""
"ロベルト……。/どうかしたの？","Roberto.../Something wrong?","Portrait: !p0000!e00",""
"ロベルト……。/どうしたんだ？","Roberto.../What's wrong?","Portrait: !p0000!e00",""
