"japanese","english","context","notes"
"男子校と聞いていましたので、/乱暴な方が多いのかと思っていましたが、/皆さんとても紳士的でした。","I heard it was a boys' school, /so I expected rough types,/but you were all very gentlemanly.","Portrait: !p2500!e00",""
"畜生ォォォォ〜〜ッッ！/あとで、ヒドイからな！/覚えときなッ！","Damn it~~！！/I'll get you later!/Remember that！","Portrait: !p2303!e00",""
"登録内容に間違いはないかしら？","Is registration info correct?","Portrait: !p0100!e00",""
"登録終了よ！/これで学園祭に参加できるわ！/さぁ、思いっ切り楽しんで来てね！","Registration complete！/Now you can join the festival！/Have fun!","Portrait: !p0101!e00",""
"皆が力を合わせて/何かをなしとげるというのは、/非常に大切な事です。","It's important everyone/works together to/accomplish something.","Portrait: !p0900!e00",""
"皆が諦めてしまっては、/現状を改善していく事など不可能です！","It's impossible/if we give up！","Portrait: !p0903!e00",""
"目覚まし時計の電池が切れて遅刻したり、/買ったクリームパンにクリームが/入ってなかったりとか……","Alarm battery died and I was late, or, /bought cream bread with no cream …","Portrait: !p2102!e00",""
"直接渡すのは……、/照れくさくってよォ！/じゃ、じゃあ、頼んだぜ！","Handing it directly…/is embarrassing！/W-well then, please！","Portrait: !p1002!e00",""
"相手なら、俺がしてやる！/身の程を思い知るがいい！","I'll be your opponent！/Know your place!","Portrait: !p0000!e00",""
"相手なら、私がしてやる！/身の程を思い知るがいい！","I'll be your opponent！/Know your place!","Portrait: !p0000!e00",""
"相手のパートナーを無効化した！","Nullified opponent's partner!","Portrait: !pffff!e00",""
"相手をよく見て！","Watch them！","Portrait: !p0503!e00",""
"相撲部は鍋か……。","Sumo: hot pot...","Portrait: !p0600!e00",""
"着ぐるみデスか？/なかなか面白そうデスね！/それで、その着ぐるみはドコにありますか？","A costume?/Sounds interesting!/Where is that costume?","Portrait: !p0800!e00",""
"着ればいいのに/困ったなぁ/断わればいいのに","Just wear it/This is tough /Just refuse","Portrait: !pffff!e00",""
"知ってる？/!0を待ってる間、/どんなにドキドキしてたか……","You know? /While waiting for !0, /how nervous I was...","Portrait: !p0202!e00",""
"知ってる？　キミを待ってる間、/どんなにドキドキしてたか……","You know? While waiting for you,/how nervous I was...","Portrait: !p0202!e00",""
"破れてるくらいがいいのさ。/早く持っていかないと/クラスの人に怒られるぞ。","A bit torn is fine. /If I don't take it soon, /the class will be mad.","Portrait: !p0000!e00",""
"確かこの辺で、バレー部が/お店出してるはずなんだけど。","Pretty sure volleyball club/has a shop around here.","Portrait: !p0200!e00",""
"確かに……そう簡単には売れなさそうだし、/だからといって安い値段を/つけるわけにはいかないだろうし……。","Certainly... won't sell easily, and,/can't price it too low either…","Portrait: !p0000!e00",""
"確かに……でも、/どうしてあんなに落ちついた人の息子が、/バツみたいな熱血根性少年なんだ？","Certainly... but,/why is such a calm person's son,/a hot-blooded boy like Batsu?","Portrait: !p0000!e00",""
"確かに、/無風流ですからねぇ、私は。","Certainly,/I'm not refined.","Portrait: !p1303!e00",""
"確かに、「金山」のマワシといえば/素晴らしいモノですが……/そんなものを譲ってもらえるでしょうか？","Certainly, 'Kinzan' mawashi,/is wonderful, but.../can I really get something like that?","Portrait: !p0900!e00",""
"確かに、グループはできてるかも/しれないけど、アキラの方がみんなを/遠ざけているところがあるんじゃないのか？","Certainly groups might form, but,/isn't Akira the one,/keeping everyone away?","Portrait: !p0000!e00",""
"確かに、グループはできてるかも/しれないけど、アキラの方がみんなを/遠ざけているところがあるんじゃない？","Certainly groups might form, but,/isn't Akira the one,/keeping everyone away?","Portrait: !p0000!e00",""
"確かに、俺の役目は終わっているのだから、/それでいいのかもしれん。/だが、俺は俺自身が許せない。","Certainly my role is over, so, /that might be fine. /But I can't forgive myself.","Portrait: !p1900!e00",""
"確かに、私は耳はいい方だと思いますけど、/他の皆さんも、!0さんの足音は/おわかりになると思いますよ。","Certainly I have good hearing, but,/I think everyone else, can /hear !0-san's footsteps too.","Portrait: !p2500!e00",""
"確かにひなたは、/とんでもないセンスを持ってるよな。/炎は出すわ靴は飛ばすわ……。","Certainly Hinata has,/incredible sense./Fires flames, kicks off shoes...","Portrait: !p0000!e00",""
"確かにひなたは、/とんでもないセンスを持ってるわね。/炎は出すわ靴は飛ばすわ……。","Certainly Hinata has,/incredible sense./Fires flames, kicks off shoes...","Portrait: !p0000!e00",""
"確かに届けてくれたようだな……/礼を言うぞ。","Certainly delivered.../I thank you.","Portrait: !p1600!e00",""
"神のご加護を！","Bless you!","Portrait: !p0900!e00",""
"私……/将来の目標ができたんです。","I.../found a future goal.","Portrait: !p0000!e00",""
"私……、!0さんが/お使いになるのは、/全然気にしませんよ……。","I.../!0-san using it, /doesn't bother me at all …","Portrait: !p2502!e00",""
"私……、/ちょっと生まれてくるの、/遅かったみたいね。","I.../was born, /a bit late.","Portrait: !p0000!e00",""
"私……、そういう人……、/好き……だけどな。","I... like…/that kind of person…","Portrait: !p0000!e00",""
"私……委員長じゃなくなったら、/一体どうなっちゃうんだろう……？","If I'm not chairperson anymore.../what will happen …?","Portrait: !p1803!e00",""
"私、いつまでも応援するよ。/ロベルトがあきらめない限り、/いつまでも！","I'll always cheer you on. /If Roberto doesn't quit, /always！","Portrait: !p0000!e00",""
"私、こういうデザインが大好きです。/着ているだけで、/楽しい気分になりますもの。","I love this design. /Just wearing it, /makes me happy.","Portrait: !p2501!e00",""
"私、そんなの見たことなくって/ビックリしちゃった。/そういうのって、当たり前なのかな？","I'd never seen that before, /and was surprised./Is that normal?","Portrait: !p1102!e00",""
"私、なんか勘違いしてたみたい。/まず、みんなに自分のことを/伝えることをしなくちゃ。","I think I misunderstood./First, I need to tell everyone, /about myself.","Portrait: !p1100!e00",""
"私、まだ見たいところが/いっぱいあるんですよねぇ。/さぁ、行きましょうよ！","I still have lots of places, /I want to see./Well then, let's go！","Portrait: !p0000!e00",""
"私、もう少し探してみます……。","I'll search a bit more…","Portrait: !p2503!e00",""
"私、クラシックを聞いてると/眠たくなっちゃうんですよねぇ。/気持ち良くって。","When I listen to classical music,/I get sleepy. /It's comfortable.","Portrait: !p0000!e00",""
"私、ザキがいたチームの人たちと/知り合いになったんだよ。","I got to know, /the people on Zaki's team.","Portrait: !p1100!e00",""
"私、今年の学園祭でもケーキを/作ろうと思って張りきってたのに、/売り子しかさせてもらえなかったの！","I was excited to make cake, /for this year's festival, but,/they only let me be a salesperson!","Portrait: !p0203!e00",""
"私、助けを呼んできます！","I'll call for help！","Portrait: !p0000!e00",""
"私、思うんだけどね……、","I think...","Portrait: !p0000!e00",""
"私、校舎の２階にある喫茶店に行きたいな！/なんでも、クッキーとかケーキが/すごくおいしいって、評判なんですよ。","I want to go to the cafe on the 2nd /floor! Cookies and cake are,/supposedly really good.","Portrait: !p0000!e00",""
"私、絶対先生を後悔させてみせるから！/あの時、フラなければって、/絶対後悔させてみせるから！！","I'll make sensei regret it！/If only I hadn't been rejected, /I'll make them regret！！","Portrait: !p0000!e00",""
"私、自分でそうしたいと思って/転校したんだもの。/そんなこと、思うはずないじゃない！","I transferred because,/I wanted to. /I wouldn't think that！","Portrait: !p1102!e00",""
"私、自分の生き方を変えようと思って/転校したのに、こんなことで逃げてたら/何も変えられないもの。","I transferred to change my life, but,/if I run from this, /nothing will change.","Portrait: !p1103!e00",""
"私、行かないから。/キャンプファイアーは、自由参加だからね。","I'm not going./Campfire is optional.","Portrait: !p0000!e00",""
"私がいければいいのですが、今ちょっと/手を放せないもので。先生がいなくても/置いてきてくれればよいです。","I'd go if I could, but I can't leave /right now. You can leave it even if I'm /not there.","Portrait: !p1301!e00",""
"私がいって/どうこうなるもんじゃないし……。","Me going won't change anything…","Portrait: !p0000!e00",""
"私がいつも/醍醐先輩といるからかしら？","Is it because I'm always/with Daigo?","Portrait: !p0000!e00",""
"私がなんとかしなくても、/ゆりかさんに/直接、断わればいいんじゃない？","Even if I don't do anything, /can't you refuse Yurika-san directly?","Portrait: !p0000!e00",""
"私が相手をする/見守る/助けを呼ぶ","I got it/Watch /Call for help","Portrait: !pffff!e00",""
"私が醍醐先輩を/好きだといってもですか……","Even if I say,/I like Daigo-senpai…","Portrait: !p0000!e00",""
"私が音楽をはじめたきっかけになったのが、/そのハーモニカなんです。/だから、いつまでも手放せなくて……。","The harmonica was,/what started my music./So I can never let it go …","Portrait: !p2500!e00",""
"私が顧問の先生に/うまくいっておきます。","I'll talk to the advisor.","Portrait: !p2500!e00",""
"私こそ……/恭介、これから先もずっと、/私たち一緒だよ！！","I.../Kyosuke, from now on forever,/we're together！！","Portrait: !p0000!e00",""
"私じゃ……ダメかな？","Me… is that OK?","Portrait: !p0000!e00",""
"私たち２人が同じことをしたんです。/何か当ててみてください。","We two did the same thing./Try to guess what.","Portrait: !p2501!e00",""
"私だって、これくらいできるよ。/それに、手伝ってもらってたんだから/当然だよ。","I can do this much. /Plus I had help, /so of course.","Portrait: !p1100!e00",""
"私だって、女の子らしいこと、/できるんだから……。","I can do, /girly things too …","Portrait: !p1100!e00",""
"私でよければ、話し相手になって/差し上げますよ。","If I'm fine, I'll be/your conversation partner.","Portrait: !p2500!e00",""
"私とランちゃんが写ってる……。","Ran-chan and I are in it…","Portrait: !p0000!e00",""
"私と一緒にいてくれるんでしょ？/さぁ、行こうよ！","You'll be with me, right?/Let's go！","Portrait: !p0000!e00",""
"私と九郎は、霧嶋家という、/特殊な家系に生まれました。","Kuro and I were born into/the Kirishima family.","Portrait: !p2503!e00",""
"私と同い年でも、/大人っぽいコが多いじゃない。/アキラちゃんも段々女っぽくなってきたし。","Even at my age,/many are mature. Akira-chan/is getting more feminine too.","Portrait: !p0203!e00",""
"私と遊べるね/お祝いパーティーをしよう/キーパーができるね","Can play with me/Let's have a party /Can be a keeper","Portrait: !pffff!e00",""
"私に「格闘技を習いたい！」って/言ってきた時は、/ピリピリ張りつめてたんだけどね。","When you said 'I want to learn martial /arts ！', you were tense, but...","Portrait: !p0200!e00",""
"私ね、/今日、!0と/一緒にいて思ったの。","You know, /with!0 today,/I thought.","Portrait: !p1100!e00",""
"私のことを心配してくれる人が/いるんだって思ったら、/元気がでてきたもの。","Knowing someone,/worries about me, /gave me energy.","Portrait: !p1100!e00",""
"私のためのチョーカーを作る/他の女の子と話しちゃダメ/チョーカーを全部売る","Make choker for me/Can't talk to other girls /Sell all chokers","Portrait: !pffff!e00",""
"私の好きなロベルトは、/人一倍努力家で、/そして必ず成し遂げる人なんだもの！","My beloved Roberto is, /hardworking beyond others, /and always succeeds！","Portrait: !p0000!e00",""
"私は……","I...","Portrait: !p0000!e00",""
"私は……ロイと離れたくないな……。","I... don't want to leave Roy...","Portrait: !p0000!e00",""
"私は……駄目なの。/みんなが思ってるほど強くはないの。/ただ、見栄を張ってるだけ……","I... am no good. /Not as strong as everyone thinks. /Just putting on a front...","Portrait: !p1803!e00",""
"私は……駄目なの。/みんなが思ってるほど強くはないの。/ただ、見栄を張ってるだけ……。","I... am no good. /Not as strong as everyone thinks. /Just putting on a front...","Portrait: !p1803!e00",""
"私は、/ティファニーの事が大好きよ！！","I love, /Tiffany！！","Portrait: !p0000!e00",""
"私は、あんな風に/ベッタリするのは、どうかと思うしね。","I think being,/that clingy is wrong.","Portrait: !p0000!e00",""
"私は、そうは思わないよ。/世間ずれしてなくて純粋なんだよ、岩は。","I don't think so. /Iwa is pure, /not jaded.","Portrait: !p0000!e00",""
"私は、そんなこと思ってないよ。","I don't think that.","Portrait: !p0000!e00",""
"私は、バイオリンが専門ですから、/やはり、バイオリンということに/なりますね。","Since violin is my specialty,/it would be violin.","Portrait: !p2500!e00",""
"私は、一生懸命なんてバカみたいって/思ってただけよ。/たかが、学園祭ごときでさぁ。","I just thought,/working hard was stupid. /Just a festival.","Portrait: !p0000!e00",""
"私は、大歓迎ですけどね！","I welcome it！","Portrait: !p0000!e00",""
"私は、怒鳴るだけじゃ/ダメなんじゃないかなと思ってただけ。","I just thought,/yelling isn't enough.","Portrait: !p0000!e00",""
"私は、昔の方が良かったとか、/考えたことないな。","I've never thought,/the past was better.","Portrait: !p0000!e00",""
"私は、普通盛りでいいよ。/私が大盛りなんか食べたら、/お腹いっぱいで動けなくなっちゃうもの！","Regular size is fine. /If I eat large,/I'll be too full to move！","Portrait: !p0000!e00",""
"私は、結構好きなんだけどね。/観てると、こっちまでエキサイトしてきて、/スカッとするもの。","I quite like it. /Watching gets me excited,/and refreshed.","Portrait: !p0000!e00",""
"私は、考えることあるよ。","I need to think.","Portrait: !p1100!e00",""
"私は、背の低い人とはねぇ……。/大丈夫、大丈夫。/ももちゃんがいるじゃない。","I don't... with short people…/It's fine, it's fine. /Momo-chan is here.","Portrait: !p0000!e00",""
"私はともかく、/アキラはどうなのよ。","Aside from me, /what about Akira?","Portrait: !p0000!e00",""
"私はまだ高校生だし、先生みたいに/他人に偉そうなコト言えるほどの/人生を過ごしてきたわけじゃないけど……","I'm still a high schooler, so, /I haven't lived enough to, /talk down to others like sensei…","Portrait: !p0000!e00",""
"私は私。/人のことを気にしてる余裕なんて/ないもの。","I am me. /No room to worry,/about others.","Portrait: !p0000!e00",""
"私は運営に時間を割いているからな。/お前たちのように/娯楽に興じる暇などない。","I'm spending time on operations. /No time for fun,/like you all.","Portrait: !p1603!e00",""
"私ひとりでクラスを支えていくのは、/もう疲れちゃった……","Supporting the class alone,/is tiring…","Portrait: !p1803!e00",""
"私も……、/私もついて行っていいの？","Me too.../can I come too?","Portrait: !p0000!e00",""
"私も……同じ気持ちですよ。/もっとも、私は/ずっと前からそう思ってましたけどね！","I... feel the same. /Though I've, /thought that for a while!","Portrait: !p0000!e00",""
