"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"ん〜仕方ないな。/俺も手伝うよ。","Hmm, can't be helped. /I'll help too.","Portrait: !p0000!e00","","31","37","6"
"アキラがどうかしたの？","Something happen to Akira?","Portrait: !p0000!e00","","22","26","4"
"わかったわかった！/行けばいいんだろ？","Got it got it ! /Just need to go, right?","Portrait: !p2302!e00","","37","40","3"
"わっ、雷蔵学園長！","Ah, Principal Raizo !","Portrait: !p0000!e00","","18","21","3"
"わっ！/誰かと思えば、ザキじゃない！","Ah! /Who I thought it was, it's Zaki !","Portrait: !p0000!e00","","35","38","3"
"ん〜仕方ないわね。/私も手伝うわよ。","Hmm, can't be helped. /I'll help too.","Portrait: !p0000!e00","","35","37","2"
"ん？/屋上に、誰かいるみたいだぞ……。","Huh?/Someone seems to be on the roof...","Portrait: !p0000!e00","","37","39","2"
"ん？/屋上に、誰かいるみたいねぇ……。","Huh?/Someone seems to be on the roof...","Portrait: !p0000!e00","","37","39","2"
"アキラ、荷物運びか？/俺も手伝うよ。","Akira, carrying stuff?/I'll help too.","Portrait: !p0000!e00","","35","37","2"
"アキラがどうかしたのか？","Something happen to Akira?","Portrait: !p0000!e00","","24","26","2"
"アイツは相撲部の方で、/何かやるっていってたなァ。","That guy said he's doing something/with sumo club.","Portrait: !p1000!e00","","49","50","1"
