"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"お前たちは立派に成長した。/俺の力は必要ない。","You've grown well./You don't need my power.","Portrait: !p1901!e00","","45","43","0"
"お似合いだと思うわよ、/小学生カップルみたいで。","You suit each other,/like grade school kids.","Portrait: !p0000!e00","","47","44","0"
"お、おい！　何しやがんだ！！/せっかく作ったのによ！/もう材料ねぇんだぞ！","H-hey! What're you doing!!/I worked hard on that!/No more ingredients!","Portrait: !p0103!e00","","72","69","0"
"おお、!0君か！/学園祭中も鍛錬を怠らんとは/感心感心！！","Oh, !0!/Training during the fest,/impressive!!","Portrait: !p1702!e00","","54","45","0"
"お、沖田先生！？","Oh, Okita-sensei!?","Portrait: !p0000!e00","","16","17","1"
"おい、バツ……どうしたんだ？/そんな仏頂面で。","Hey, Batsu... what's up?/Looking grumpy.","Portrait: !p0000!e00","","45","41","0"
"おかげで少し寝不足ですが……。","Thanks to that I'm a bit tired...","Portrait: !p1302!e00","","30","33","3"
"お、委員長じゃないか。/今ヒマなのか？","O-oh, Rep./Are you free now?","Portrait: !p0000!e00","","37","28","0"
"お、将馬。/そんなトコロでボーッとして/どうしたんだ？","O-oh, Shoma./What're you doing/spacing out there?","Portrait: !p0000!e00","","52","49","0"
"お、将馬。/道の真ん中で何やってるんだ？","O-oh, Shoma./What're you doing there?","Portrait: !p0000!e00","","39","37","0"
"おいおい、もも。/そんなにひっついたら、踊れないだろ？","Hey hey, Momo./Stick that close, can't dance.","Portrait: !p0000!e00","","53","45","0"
"お客の反応……かな？","Customer reactions...?","Portrait: !p0000!e00","","20","20","0"
