"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"岩クンが美術の時間に描いた絵を見て、/美術部の展示に加えたいって思ったの！","I saw Iwa-kun's painting from art class /and wanted to add it to art club display!","Portrait: !p3100!e00","","73","82","9"
"必殺技を覚えた！/さらに!0の!c04ＨＰ!c07が!1回復！","Learned special ! /Plus  !0's  !c04HP!c07 recovered by !1!","Portrait: !pffff!e00","","49","58","9"
"岩が望むなら、ずっと側にいるよ……。","If Iwa wants, I'll always be by your side...","Portrait: !p0000!e00","","36","44","8"
"思いっ切り遊べば、/気も晴れるんじゃない？","If you play hard, /your mood will improve, right?","Portrait: !p0501!e00","","41","49","8"
"当たり前だ。/一時の油断が身を滅ぼすのだ。","Of course./A moment's carelessness destroys you.","Portrait: !p1600!e00","","41","48","7"
"岩！/俺を待ってたんだな。","Iwa ! /You were waiting for me.","Portrait: !p0000!e00","","25","31","6"
"心外だな。/アイツらと一緒にするなって！","That's insulting. /Don't group me with them!","Portrait: !p0101!e00","","39","44","5"
"悪いのは不良だもん！/ももちゃんは悪くないもん！","The delinquents are wrong ! /Momo-chan isn't wrong !","Portrait: !p2403!e00","","47","52","5"
"弟？/子供？/迷子？","Brother?/Child? /Lost?","Portrait: !pffff!e00","","18","22","4"
"恭介。/風紀委員ってさぁ、/適当に校内を動き回ってるの？","Kyosuke./Discipline committee /just wanders around school?","Portrait: !p0000!e00","","54","58","4"
"性別を登録してね！","Register your gender!","Portrait: !p0100!e00","","18","21","3"
"岩じゃないか。/それに佐渡先生まで……。/何してるんですか？","Isn't that Iwa. /And Sado-sensei too... /What are you doing?","Portrait: !p0000!e00","","58","60","2"
"岩！/私を待っててくれたんだ。","Iwa ! /You were waiting for me.","Portrait: !p0000!e00","","29","31","2"
"年に一度の学園祭ぐらい、/好きにさせてくれてもいいと思わない！？","Don't you think it's fine /to let us do as we want for the fest!?","Portrait: !p0203!e00","","63","65","2"
"恭介……","Kyosuke...","Portrait: !p0000!e00","","8","10","2"
"岩のツープラトン技/!c03『活火山』!c07を覚えた！","Got Iwa's Two-Platoon /!c03'Active Volcano'!c07!","Portrait: !pffff!e00","","47","48","1"
"己を鍛え直し、/俺自身のケジメをつけるためにな。","To retrain myself /and settle things my own way.","Portrait: !p1900!e00","","47","48","1"
"彼らは、母国ですべき事があるからこそ、/帰国したのです。","They returned because /they have things to do back home.","Portrait: !p0900!e00","","55","56","1"
"恭介とは、/互いの理想が異なる事を知った今、/行動を共にする理由はない。","With Kyosuke, now knowing our ideals differ,/no reason to act together.","Portrait: !p1600!e00","","70","71","1"
"愛情/楽しいこと/恐怖","Love/Fun things /Fear","Portrait: !pffff!e00","","20","21","1"
