"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"……まっすぐ飛ばない弾で、百発百中？/それはそれですごいかも……。","...A bullet that curves, but 100% accurate? /That's impressive in its way...","Portrait: !p0000!e00","","65","76","11"
"……こう来たときは、こうだろ。/……で、こうさばいて、こう……。","...When they come like this, do this. /...Then handle it like this...","Portrait: !p0400!e00","","63","69","6"
"……これも、/高校生活のいい思い出になります。/ね、隼人先生。","...This will be /a good high school memory. /Right, Hayato-sensei?","Portrait: !p0000!e00","","60","66","6"
"……だが、最近になって/恭介が何を目指し、/私の下を去っていったのか……","...But lately I've wondered /what Kyosuke aims for, /why he left my side...","Portrait: !p1600!e00","","70","75","5"
"……まわってやればいいじゃん。/減るもんじゃなし。","...Just give them a turn. /It's not like it costs you.","Portrait: !p0000!e00","","49","54","5"
"……ならいいけど。/それじゃ。","...That's fine then. /Well then.","Portrait: !p0203!e00","","29","32","3"
"……いい感じが掴めそうだ。/ありがとう、!0。/キミのお陰だ……","...I think I'm getting it. /Thanks, !0. /It's thanks to you...","Portrait: !p0302!e00","","60","62","2"
"……くだらない。/いつからランに感化されたんだ？","...Ridiculous. /Since when did Ran influence you?","Portrait: !p0303!e00","","47","49","2"
"……たこ焼き器。","...Takoyaki maker.","Portrait: !p1803!e00","","16","18","2"
"……たとえ就寝中だろうと、/この剣を手放す事はない。","...Even when sleeping, /I never let go of this sword.","Portrait: !p1600!e00","","51","53","2"
"……だが、/とりあえず意見として聞いておく。/では、さらばだ。","...However, /I'll hear it as an opinion. /Well then, farewell.","Portrait: !p1601!e00","","60","62","2"
"……そうか。/進学するなら五輪大学に来い。/僕は、オマエと同じ時を過ごしたい……。","...I see. /If you go to college, come to Gorin. /I want to spend time with you...","Portrait: !p2200!e00","","80","81","1"
"……その誰かって……/!0のコト？","...That someone... /you mean !0?","Portrait: !p0202!e00","","31","32","1"
"……どうした……？","...What's wrong...?","Portrait: !p2200!e00","","18","19","1"
"……まわってあげればいいじゃない。/減るもんじゃなし。","...Just give them a turn. /It won't cost you anything.","Portrait: !p0000!e00","","53","54","1"
