"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"ああ！/ゲド高の漢（オトコ）に、/二言はねェぜ！","Ah！　/A Gedokou man　/never goes back on his word！","Portrait: !p1000!e00","","46","52","6"
"ああ！/!0も、がんばれよ！！","Ah！　/ !0, do your best too！！","Portrait: !p0700!e00","","27","32","5"
"ああ！/雨だと客足が悪くて、/商売になんねェからな！","Ah！　/Rain means fewer customers,　/bad for business！","Portrait: !p1001!e00","","50","55","5"
"ああ、応援団にな。/今年が最後の学園祭だ。/悔いのないようにしたいものだ。","Ah, I'm in the cheer squad. /This is my last festival.　/I want no regrets.","Portrait: !p1901!e00","","72","75","3"
"あっ、雷蔵学園長！","Ah, Principal Raizo!","Portrait: !p0000!e00","","18","20","2"
"ああ、それくらいなら、/まかせとけって。","Ah, if it's just that,　/leave it to me.","Portrait: !p0000!e00","","39","40","1"
"ああ、ボーマン達は/いろいろ出し物で/忙しいみたいだが……、","Ah, Bowman and them seem　/busy with various events, but...","Portrait: !p0700!e00","","58","59","1"
"ああ、他の子が頑張ってるんでね。/アタイは、今は用なしさ。","Ah, the other kids are working. /I have nothing to do now.","Portrait: !p2300!e00","","57","58","1"
"ああ、将馬。/うん……ちょっと成績が/いまいちだったから……。","Ah, Shoma.　/Yeah... my results were　/a bit disappointing...","Portrait: !p0000!e00","","60","61","1"
"あっ、響子先生。/ちょっとお話が……","Ah, Kyoko-sensei. /I need to talk...","Portrait: !p0000!e00","","35","36","1"
