"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"そういや委員長、/帰宅部の監督は辞めたの？","Speaking of, Rep,/quit go-home club advisor?","Portrait: !p0000!e00","","41","40","0"
"そういえば、/ゆりかさんと九郎って、/姉弟なんですよね？","Speaking of,/Yurika-san and Kuro/are siblings, right?","Portrait: !p0000!e00","","54","51","0"
"そ、そうね……/（それよりも、/　胸の星型が目にイタイわ……）","W-well.../More importantly,/the star hurts my eyes...","Portrait: !p0000!e00","","60","51","0"
"そういうときは、/勇気が必要ね。","At such times,/you need courage.","Portrait: !p0000!e00","","31","30","0"
"そ、そうだね……/（それよりも、胸の星型が目に毒だ……）","Y-yeah.../The star on her chest is bad...","Portrait: !p0000!e00","","55","41","0"
"そういうときは、/勇気が必要だな。","At such times,/you need courage.","Portrait: !p0000!e00","","33","30","0"
"そ、そんな顔すんなよ！/照れるじゃねェかよ……。","D-don't make that face!/You're making me blush...","Portrait: !p1002!e00","","47","46","0"
"そういう線もあったな。/でも違うんだよ。","That was possible./But that's not it.","Portrait: !p2700!e00","","39","38","0"
"そういえば、/どうしてひなたは靴を飛ばすの？/もって歩くのも大変そうなのに。","Speaking of,/why does Hinata throw shoes?/Carrying them seems hard.","Portrait: !p0000!e00","","74","66","0"
"そ、そうか？/オマエもどうだ、なんだったら/一緒に回るか？","I-is that so?/How about you,/go around together?","Portrait: !p0401!e00","","56","48","0"
"そ、そっか……。/そうよね……。","I-I see.../That's right...","Portrait: !p0502!e00","","31","26","0"
"そう、デスか……","Yeah, is that so...","Portrait: !p0803!e00","","16","18","2"
"そういえばバツって、/よく二年生に進級できたわね。/テストで赤点たくさんもらってたのに。","Speaking of, Batsu/made it to 2nd year./Even with all those fails.","Portrait: !p0000!e00","","86","63","0"
"そう、信じてるからな！","Yeah, I believe in you!","Portrait: !p1001!e00","","22","22","0"
"そういうものなのか？/よくは判らないけど……いくぞ！！","Is that so?/Don't get it, but...let's go!!","Portrait: !p0000!e00","","53","41","0"
"そういうものなの？/よくは判らないけど……いくわよ！！","Is that so?/Don't get it, but...let's go!!","Portrait: !p0000!e00","","53","41","0"
"そういう生き方もあるだろうな……。/何もせず、時に身を任せる……、/そんな生き方もな。","That's one way to live.../Doing nothing, going with flow.../that's also a way.","Portrait: !p1901!e00","","84","76","0"
"そういえば、/どうしてひなたは靴を飛ばすんだ？/もって歩くのも大変そうなのに。","Speaking of,/why does Hinata throw shoes?/Carrying seems hard too.","Portrait: !p0000!e00","","76","65","0"
