"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"みんなを連れ戻しに行く/仕方ない、手伝うか/精一杯応援しよう","Go bring everyone back/ Can't help it, I'll help/ Cheer our hardest","Portrait: !pffff!e00","","58","67","9"
"みんなを連れ戻しに行く/仕方ない、手伝うわ/精一杯応援しよう","Go bring everyone back/ Can't help it, I'll help/ Cheer our hardest","Portrait: !pffff!e00","","58","67","9"
"もう一度、/旅に出るのがいいと思います。","I think going on another journey would be good.","Portrait: !p0000!e00","","39","47","8"
"もう一度旅に出て、/俺自身を見つめ直すのもいいだろう。","Going on another journey /to re-examine myself would be good.","Portrait: !p1901!e00","","53","61","8"
"まったく！ 何度も、姫、姫と……。","Really! Calling me Hime over and over...","Portrait: !p2302!e00","","33","40","7"
"まりにロベルトをたくす！/俺が代わりになる！/天誅を加える！","Leave Roberto to Mari!/ I'll take his place!/ Divine punishment!","Portrait: !pffff!e00","","58","64","6"
"まりにロベルトをたくす！/私が代わりになる！/天誅を加える！","Leave Roberto to Mari!/ I'll take his place!/ Divine punishment!","Portrait: !pffff!e00","","58","64","6"
"もしかして、/２人の演奏で、観客全員が/寝ちゃったとかですか？","Could it be that /with two people playing, /everyone fell asleep?","Portrait: !p0000!e00","","60","65","5"
"もちろん、いいよ。/じゃ、一緒に回ろう！","Of course, sure. /Let's go around together!","Portrait: !p0000!e00","","39","43","4"
"み、密書！？/なんでそんなモノを……","S-secret letter!? /Why such a thing...","Portrait: !p0000!e00","","35","38","3"
"もう……素直じゃないんだから。/私はね、将馬がチビだからとか、/野球やってるからとか……、","Enough... you're not honest. /I mean, it's not because Shoma is short /or plays baseball...","Portrait: !p0000!e00","","88","91","3"
"もういいわ。/じゃあね！","That's enough. /See you!","Portrait: !p0503!e00","","23","24","1"
