"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"英雄先生、こずえ先輩、/何を見てるんですか？","Eiyu-sensei, Kozue-senpai,/what are you watching?","Portrait: !p0000!e00","","43","46","3"
"色気/身長/内面","Charm/Height/Inner","Portrait: !pffff!e00","","14","17","3"
"空手なんてできない！ ハッハッハ！/でもバレー選手の運動能力を/ナメちゃいけないよ！　何とかなるさ！！","Can't do karate! Hahaha!/But don't underestimate/volleyball athleticism! I'll manage!!","Portrait: !p2801!e00","","99","80","0"
"笑うと……、/笑うと天使みたいだし……。","When you smile.../you're like an angel...","Portrait: !p0000!e00","","39","37","0"
"英雄先生……。/鼻の下伸びてる。","Eiyu-sensei.../nose is drooling.","Portrait: !p0000!e00","","31","31","0"
"綺麗ね……/本当に、空まで燃えちゃいそう……","Beautiful.../sky looks like it's on fire...","Portrait: !p0000!e00","","43","40","0"
"美しいですよね……。/本当に……魂が吸い込まれるようだ……。/ねぇ、先輩……？","Beautiful.../really... feels like soul is drawn in.../Right, senpai...?","Portrait: !p1502!e00","","76","65","0"
"腰の具合が……/絶好調！/今度診て下さい","Back is.../Perfect!/Check next time","Portrait: !pffff!e00","","38","35","0"
"私もいく/大変だね/いかないで","I'll go too/Tough/Don't go","Portrait: !pffff!e00","","28","26","0"
"精神の鍛練……ですか？","Mental training... huh?","Portrait: !p0000!e00","","22","21","0"
"素直に理由を話して、/美術部に頼んだほうがいいぜ。","Better to honestly explain/and ask the art club.","Portrait: !p0000!e00","","49","46","0"
"義を見てせざるは、なんとやらだな！/いくぜ！","Seeing justice and not acting.../Let's go!","Portrait: !p0000!e00","","43","41","0"
"聖純女学院ってのは、/いい学校みてェだな……。/ああ、きっとそうだぜェ……。","Seijun Girls' Academy,/seems like a good school.../Ah, surely it is...","Portrait: !p1002!e00","","74","66","0"
"聖純女学院の生徒って/みんな、お行儀がすごくいいの。/私って、ガサツかも……。","Seijun students/all have great manners./I'm maybe rough...","Portrait: !p1103!e00","","76","55","0"
"英雄のツープラトン技/!c03『島津流　双龍正波拳』!c07を覚えた！","Got Eiyu's Two-Platoon/!c03'Shimazu Twin Dragon Wave'!c07!","Portrait: !pffff!e00","","61","56","0"
"英雄先生、佐渡先生、/どうしたんですか？","Eiyu-sensei, Sado-sensei,/what's wrong?","Portrait: !p0000!e00","","39","38","0"
"英雄先生、何やってるんですか？","Eiyu-sensei, what're you doing?","Portrait: !p0000!e00","","30","30","0"
