"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"その理由は、/雹クンが知っているはずよ。","The reason is something /Hail-kun should know.","Portrait: !p0000!e00","","39","46","7"
"そりゃ、/ももと行きたいからさ。","That's because  /I wanna go with Momo.","Portrait: !p0000!e00","","31","38","7"
"そりゃ、/ももちゃんと行きたいからよ。","That's because  /I wanna go with Momo-chan.","Portrait: !p0000!e00","","37","43","6"
"そっかぁ、/夏がやりたくないなら仕方ないよね。","I see, if Natsu doesn't wanna,  /can't be helped.","Portrait: !p0000!e00","","45","49","4"
"そもそも、/どうして人の悩みなんか/聞いてまわってるの？","First of all, /why do you go around /listening to worries?","Portrait: !p0000!e00","","54","58","4"
"その理由は、/雹さんが知っているはずですよ。","The reason is something /Hail-san should know.","Portrait: !p0000!e00","","43","46","3"
"その意気よ、バツ！/これからは私も、/側から一生懸命応援するから！！","That's the spirit, Batsu! /From now on, I'll  /cheer you on hard ! !","Portrait: !p0000!e00","","66","68","2"
"そもそも、/どうして人の悩みなんか/聞いてまわってるんだ？","First of all, /why do you go around /listening to worries?","Portrait: !p0000!e00","","56","58","2"
"それが例のフリフリエプロンか……。/確かに、スゴイな……。","That's the famous frilly apron…  /It's really something...","Portrait: !p0000!e00","","57","59","2"
"そりゃ、/外見があれだけ似てりゃ、/代役にはもってこいじゃない？","With appearances that similar,  /perfect for a stand-in, right?","Portrait: !p0000!e00","","62","63","1"
"そりゃあ、あるよ。","Of course there is.","Portrait: !p0000!e00","","18","19","1"
"そりゃそうだ。/教師も人だ、腹も減るぜ！","That's right. /Teachers get hungry too !","Portrait: !p2001!e00","","39","40","1"
