"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"この燃え盛る赤い炎の色を/旅立ちの決意とともに、/心に刻んでな。","Engrave this blazing red flame/with your resolve to leave/in your heart.","Portrait: !p1901!e00","","62","60","0"
"これで長かった/通院生活ともおさらばさ！","With this, goodbye/to long hospital visits!","Portrait: !p0600!e00","","39","38","0"
"これを学長室に、/戻してきてもらえませんか？","Could you return this/to the principal's office?","Portrait: !p1500!e00","","43","42","0"
"これからは、/アタシが!0の側にいて/優しくしてあげる番だと思うの。","From now on, it's my turn/to stay by !0's side/and be kind.","Portrait: !p0502!e00","","64","58","0"
"さぁ、!0！！/ジタバタせずについてこいや！！","Well then, !0!!/Stop struggling and come!!","Portrait: !p2000!e00","","43","41","0"
"ご褒美に、忌野流鍛錬術の/一手を授けてやろう。","As reward, I'll teach you/an Inuya technique.","Portrait: !p1701!e00","","45","43","0"
"さぁ、どうだ！！/熱血赤ジャージが、今なら超特価だ！/サイズは全種揃ってるぞ！","How about it!!/Hot-blooded red jersey, special!/All sizes in stock!","Portrait: !p2000!e00","","76","61","0"
"この鏡をやるから、練習して/『ガン』に磨きをかけるといいさ。","Here's this mirror,/practice and polish your 'glare'.","Portrait: !p2301!e00","","59","52","0"
"これ、全部かよ！","All of this!","Portrait: !p1003!e00","","16","12","0"
"これが、その聖女の制服だよ。","This is that 'saint's' uniform.","Portrait: !p2300!e00","","28","30","2"
"これだからジャパニーズは……","This is why Japanese...","Portrait: !p0703!e00","","28","22","0"
"これとかカッコイイよな。/高そうだし。","This looks cool./Seems pricey too.","Portrait: !p0000!e00","","37","35","0"
"これとかカッコイイわね。/高そうだし。","This looks cool./Seems pricey too.","Portrait: !p0000!e00","","37","35","0"
"さぁ、せっかく/キャンプファイアーに来たんです。/先輩もあの綺麗な炎を見てくださいよ……。","Well, since we came/to the campfire, senpai,/look at that flame...","Portrait: !p1502!e00","","88","65","0"
