"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"そんな風に自分をアピールしてみれば？/好きな人が出来たときにも役立つと思うわ。","Try appealing yourself that way. /It'll help when you like someone.","Portrait: !p0000!e00","","78","66","0"
"そんな風に自分をアピールしてみればいい。/好きな人が出来たときにも役立つと思うぞ。","Try appealing yourself that way. /It'll help when you like someone.","Portrait: !p0000!e00","","82","66","0"
"そんな風に言ってもらえるなんて、/嬉しいな。","I'm glad you'd /say that.","Portrait: !p0000!e00","","43","27","0"
"そんなの言われなくても/わかってるよ！/だから苦労してるのよ……","I know that /without being told! /That's why I'm struggling...","Portrait: !p0000!e00","","60","58","0"
"ただいまより、/テーブル!c01%d!c07番の!c01カレー!c07を/!c01特盛り!c07にてお持ちします!!","Now serving /!c01Extra Large Curry!c07 /to table !c01%d!c07!","Portrait: !p0000!e00","","84","56","0"
"ただ、怒ってるって言うよりも、/心配してるって感じだったけどな。","More than angry, /it felt like he was worried.","Portrait: !p0000!e00","","58","46","0"
"ただ、まだ学長がクビを/タテに振ってくれないだけで……","It's just that the Dean /won't approve yet...","Portrait: !p0000!e00","","45","44","0"
"助けに行かないと/迷惑がかかる/バツに任せる","Gotta go help/ It'll cause trouble/ Leave it to Batsu","Portrait: !pffff!e00","","50","50","0"
"助けてあげよう/このまま見てる/バツに任せる","Let's help/ Just watch/ Leave it to Batsu","Portrait: !pffff!e00","","48","47","0"
"助けにいく/このまま見てる/ひなたに任せる","Go help/ Just watch/ Leave it to Hinata","Portrait: !pffff!e00","","46","42","0"
"食べ物ならここ「青空食堂」だぜ。/うまいモノが安く食えるんだ！","For food, here's Aozora Diner. /You can eat good stuff cheap!","Portrait: !p0000!e00","","60","58","0"
"誰が作ったか知らないけど、/「水族館のイルカのジャンプ」を/イメージしてるって聞いたわよ。","I don't know who made it, /but I heard it's inspired by /dolphin jumps at aquariums.","Portrait: !p0000!e00","","92","86","0"
"誰もが一度は考えることさ……/けど私には、/その方法は見つけられなかったよ……","Everyone thinks of it once... /But I couldn't find /that method...","Portrait: !p1603!e00","","72","66","0"
"誰もが一度は考えることよ……/けど私には、/その方法は見つけられなかったわ……","Everyone thinks of it once... /But I couldn't find /that method...","Portrait: !p1603!e00","","76","66","0"
"誰がつくったか知らないけど、/「水族館のイルカのジャンプ」を/イメージしてるって聞いたぜ。","I don't know who made it, /but I heard it's inspired by /dolphin jumps at aquariums.","Portrait: !p0000!e00","","92","86","0"
"誰かに相談したいけれど、相談相手がいなくて。/でも無理にでも相談してみれば、/糸口が見つかるかなって……。","I want to consult someone but have no one. /Maybe if I force myself to ask, /I'll find a clue...","Portrait: !p0000!e00","","112","96","0"
"誰も見てないかな？/……じゃ、少しだけお邪魔するかな。","Is anyone watching? /...Then, I'll intrude a bit.","Portrait: !p0000!e00","","49","46","0"
"男のロマンを語ってあげたい/そういう娯楽もある/そうかもしれないね","Want to tell him about male romance/ Such entertainment exists/ Maybe so","Portrait: !pffff!e00","","58","58","0"
"男のロマンを語ってあげる/そういう娯楽もあるわ/そうかもしれないわね","Want to tell him about male romance/ Such entertainment exists/ Maybe so","Portrait: !pffff!e00","","58","58","0"
"男女の間に友情はあっていいと思う/愛し合うのとは別だと思う/距離をおけば、そういうのもあり","Friendship can exist between genders/ It's different from love/ With distance, it can work","Portrait: !pffff!e00","","78","78","0"
"男女の間に友情はあっていい/愛し合うのとは違うと思う/距離をおけばアリだ","Friendship can exist between genders/ It's different from love/ With distance, it works","Portrait: !pffff!e00","","64","64","0"
"知らないワケがないじゃない！/全校一のイケメンだよ！？","How could you not know!? /He's the hottest guy in school!?","Portrait: !p0000!e00","","49","49","0"
"知りたいなら、ちゃんと向き合って/本人に聞くことね。/相手を信じないと！","If you want to know, face them /and ask directly. /Trust them!","Portrait: !p0000!e00","","66","58","0"
"知りたいなら、ちゃんと向き合って/本人に聞くことだな。/相手を信じないと！","If you want to know, face them /and ask directly. /Trust them!","Portrait: !p0000!e00","","68","58","0"
"知らないワケがないじゃん！/全校一のイケメンなのに！？","How could you not know!? /He's the hottest guy in school!?","Portrait: !p0000!e00","","49","49","0"
"知らなかったのか？/一緒にバレー部に入って活躍してたのに。","You didn't know? /We were in volleyball club together.","Portrait: !p0000!e00","","49","49","0"
"知ってるとは思うけど、今から/「九段高校対抗相撲大会」を/見に行くんだってさ。","You might know, but /we're going to see the /Kudan High Sumo Tournament.","Portrait: !p0000!e00","","72","72","0"
"知らなかったの？/一緒にバレー部に入って活躍してたのに。","You didn't know? /We were in volleyball club together.","Portrait: !p0000!e00","","49","49","0"
"知ってると思うけど、/ラクロスって聞いたことあるか？","You might know, but /have you heard of lacrosse?","Portrait: !p0000!e00","","49","48","0"
"地図だと!c04「記」!c07と書いてあるの。/これは「記念碑」とか「記念樹」とかに/使われる地図記号なのよ。","On maps it's marked !c04'Ki'!c07. /This symbol is for /monuments or memorial trees.","Portrait: !pffff!e00","","102","82","0"
"地図記号にすると/!c04「〒」!c07マークで表されているわ。/見ればわかると思うけど郵便局の事よ。","On maps, it's shown as !c04post mark!c07. /As you might know, /it means post office.","Portrait: !pffff!e00","","100","87","0"
"注目の「燃える男」こと!0の登場だァーッ！！","The 'burning man' !0 has arrived!!","Portrait: !p0000!e00","","52","35","0"
"中３の頃に……/ちょっといろいろとあってね。/だから仮入部なんだ。","Back in 3rd year... /various things happened. /That's why I'm provisional.","Portrait: !p0300!e00","","62","62","0"
"中途半端に手伝って、/!0のコンセントレーションを/乱すわけにはいかないからね。","Can't help halfway and /disturb !0's /concentration.","Portrait: !p0000!e00","","70","50","0"
"中途半端に手伝って、/!0のコンセントレーションを/乱すわけにはいかないしね。","Can't help halfway and /disturb !0's /concentration.","Portrait: !p0000!e00","","72","50","0"
"腸が飛び出しそう！/クラスのみんながやる気で、/私がぼんやりしてたら浮いちゃうもん！","My guts might fly out! /Everyone's motivated, /I'd stand out if I spaced out!","Portrait: !p0000!e00","","82","78","0"
"腸が飛び出しそうだ！/クラスのみんながやる気だから、/俺がぼんやりしてたら浮いちゃうよ！","My guts might fly out! /Everyone's motivated, /I'd stand out if I spaced out!","Portrait: !p0000!e00","","86","78","0"
"長くなったけど、/これでゲームのルール説明は終わりよ。/何か質問はあるかしら？","It's gotten long, but /that's the end of the rules. /Any questions?","Portrait: !p1800!e00","","78","64","0"
"鳥小屋が近いから、/ここだけ匂いもキツイの。/臭いから、食事中はやめたほうがいいよ。","The bird coop is near, /so it smells strong here. /Don't come while eating.","Portrait: !pffff!e00","","88","80","0"
"鳥小屋が近いからな、/ここだけ匂いもキツイぞ。/臭いから、食事中はやめたほうがいい。","The bird coop is near, /so it smells strong here. /Don't come while eating.","Portrait: !pffff!e00","","86","80","0"
"通勤カバンを準備する/愛の言葉をささやく/朝ご飯を作る","Prepare commute bag/ Whisper words of love/ Make breakfast","Portrait: !pffff!e00","","56","55","0"
"通りで……/学内中がソワソワしてると思ったわ。","No wonder... /I thought the campus felt restless.","Portrait: !p0000!e00","","43","43","0"
"帝国華撃団・花組の新曲/「ゲキテイ（檄！帝国華撃団）」。/もうすぐ発売なので、よろしくね！","Imperial Theater's new song /'Geki Tei (Go! Imperial Theater)'. /Coming soon, check it out!","Portrait: !p0000!e00","","92","90","0"
"転校っても……/まだ学長の許可が/出てないんだけどな……","Transfer though... /Dean's approval /isn't out yet...","Portrait: !p0000!e00","","53","48","0"
"店長はいったいどこに/消えちまったんだろうなぁ……","Where did the manager /disappear to...","Portrait: !p0000!e00","","47","37","0"
"天気がよければ、/他にも色々な物がよく見える。/方角を定めるのに便利よ。","In good weather, /you can see many things. /Useful for finding directions.","Portrait: !pffff!e00","","72","72","0"
