"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"なに……、/ゲド高流に話をつけるだけだ。/心配するな。","What.../Just settling things Gedou style./Don't worry.","Portrait: !p1900!e00","","52","51","0"
"なりたいって気持ちを、/忘れなければ大丈夫さ。","As long as you don't forget/that desire, it's fine.","Portrait: !p0000!e00","","45","50","5"
"なりたいって気持ちを、/忘れなければ大丈夫よ。","As long as you don't forget/that desire, it's OK.","Portrait: !p0000!e00","","45","47","2"
"なんか楽しそうね、ロイ。","Roy looks like he's having fun.","Portrait: !p0000!e00","","24","31","7"
"なんだ、夏？/屋上でサボリか？","What, Natsu?/Slacking on the roof?","Portrait: !p0000!e00","","29","34","5"
"なになに？/何やったの？","What what?/What did you do?","Portrait: !p0000!e00","","23","26","3"
"なんか楽しそうだな、ロイ。","Roy seems to be having fun.","Portrait: !p0000!e00","","26","26","0"
"なに、これ？/この写真を見てたの？","What's this?/Looking at this photo?","Portrait: !p0000!e00","","33","33","0"
"なにせ、太陽学園には、/問題児がゴロゴロいるからな……。","After all, Taiyo Academy/has problem kids everywhere...","Portrait: !p0301!e00","","55","53","0"
"なるほど。/元日本代表選手ともなれば、/知名度はありますからね！","I see./Being a former national player,/you have recognition!","Portrait: !p0901!e00","","62","58","0"
"なに？/この蚊の鳴くような声の客引きは……？","What?/This weak-voiced tout...?","Portrait: !p0000!e00","","43","30","0"
"なんたって、年に一度の学園祭だからな！/燃えない方がどうかしてるぜ！","It's the once-a-year fest!/Something's wrong if not fired up!","Portrait: !p0101!e00","","67","58","0"
