"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"うわー高そうな時計。/どうしたの？","Whoa, expensive-looking watch. /What happened?","Portrait: !p0000!e00","","33","46","13"
"うわ、暗い……。/どうかしたの、夏？","Whoa, you're down... /What's wrong, Natsu?","Portrait: !p0000!e00","","35","42","7"
"う〜ん、悪いけど、/それは絶対ムリね！","Hmm, sorry, but /that's totally impossible!","Portrait: !p0000!e00","","37","43","6"
"うまくいえないけど、がんばれ！","Can't say it well, but do your best!","Portrait: !p0000!e00","","30","36","6"
"うん、それならいいよ。/一緒に回ろっか。","Yeah, that's fine. /Wanna go around together?","Portrait: !p0000!e00","","39","45","6"
"うわ、暗い……。/どうかしたのか、夏？","Whoa, you're down... /What's wrong, Natsu?","Portrait: !p0000!e00","","37","42","5"
"うん、そうね。","Yeah, that's right.","Portrait: !p0000!e00","","14","19","5"
"うん、わかった。/任せて！","Yeah, got it. /Leave it to me!","Portrait: !p0000!e00","","25","30","5"
"う〜ん、悪いけど、/それは絶対ムリだな！","Hmm, sorry, but /that's totally impossible!","Portrait: !p0000!e00","","39","43","4"
"ううん、見てないけど……/何かあったの？/そんなに慌てて。","No, I didn't see... /Something happen? /You're so flustered.","Portrait: !p0000!e00","","56","60","4"
"うまくいえないけど、がんばって！","Can't say it well, but do your best!","Portrait: !p0000!e00","","32","36","4"
"うん、そうだよ。/笑いに来たんだよ。","Yeah, that's right. /I came for laughs.","Portrait: !p0000!e00","","35","39","4"
"うん、そうだよ。","Yeah, that's right.","Portrait: !p0000!e00","","16","19","3"
"うん、もう決まってるよ。","Yeah, it's already decided.","Portrait: !p0000!e00","","24","27","3"
"うれしそうね、将馬。","You look happy, Shoma.","Portrait: !p0000!e00","","20","22","2"
"うん……。/そうだね。","Yeah... /That's right.","Portrait: !p1100!e00","","21","22","1"
