"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"（しまった……/　今度、ちゃんと謝ろう……）","(...oh no... /I'll apologize properly next time...)","Portrait: !p0000!e00","","43","43","0"
"（ずいぶん、ウソっぽい話ね）","(...quite a fake-sounding story...)","Portrait: !p0000!e00","","28","28","0"
"（どうしたんだろ？/　醍醐先輩……モグモグ）","(...what's wrong? /Daigo-senpai... munch munch)","Portrait: !p0000!e00","","43","43","0"
"（なんか、高そうな食器……。/　やっぱり聖純女学院は違うなぁ……）","(...expensive-looking dishes... /Seijun is different...)","Portrait: !p0000!e00","","65","56","0"
"（そういうときは……）","(...at times like that...)","Portrait: !p0000!e00","","22","22","0"
"（な、何いってんだよ……）","(...wh-what are you saying...)","Portrait: !p0000!e00","","26","26","0"
"（ずいぶん、ウソっぽい話だなぁ）","(...quite a fake-sounding story...)","Portrait: !p0000!e00","","32","28","0"
"（そっか……、残念だな……）","(...I see... unfortunate...)","Portrait: !p0000!e00","","28","28","0"
"（な、なんか……、/　いつものロベルトと違う……）","(...s-somehow... /different from usual Roberto...)","Portrait: !p0000!e00","","49","49","0"
"（そういえば、ロイってば/　昔から謎の情報網をもってるわよね……。/　危険な香りのする男……？）","(...come to think of it, Roy /has had a mysterious info network... /dangerous man...?)","Portrait: !p0000!e00","","94","90","0"
"（どっから見ても/　同じには見えないけど……）","(...from any angle, /doesn't look the same...)","Portrait: !p0000!e00","","45","45","0"
"（どっから見ても/　同じには見えないわよ……）","(...from any angle, /doesn't look the same...)","Portrait: !p0000!e00","","45","45","0"
