"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"あはは！/みんな、学園祭を楽しみにしてたからな。","Ahaha ! /Everyone was looking forward /to the festival.","Portrait: !p0000!e00","","47","55","8"
"あはは！/みんな、学園祭を楽しみにしてたからね。","Ahaha ! /Everyone was looking forward /to the festival.","Portrait: !p0000!e00","","47","55","8"
"あはは！/何やってんの、!0！","Ahaha ! /What're you doing,  !0!","Portrait: !p0501!e00","","27","32","5"
"あはは……。/こ、困ったなぁ……。","Ahaha...  /W-well, this is trouble...","Portrait: !p0000!e00","","33","37","4"
"あの矯正術をマスターしたいの？/それには、整体の基礎から/学んでもらわないとね。","You want to master that technique?  /You'll need to learn /bodywork basics first.","Portrait: !p1400!e00","","78","81","3"
"あはは……。/で？　何の用だ？","Ahaha...  /So? What do you need?","Portrait: !p0000!e00","","29","32","3"
"あはは……。/聞きたいね。","Ahaha...  /I'd like to hear.","Portrait: !p0000!e00","","25","28","3"
"あの成り金め……。","That nouveau riche…","Portrait: !p2303!e00","","18","20","2"
"あはは！/五輪高校で１年からバレー部のレギュラー/だったんだから、夏だって十分すごいよ！","Ahaha ! /She was a regular on Gorin's volleyball  /from year 1, so Natsu is amazing too!","Portrait: !p0000!e00","","86","88","2"
"あはは……。/だらしない返事！","Ahaha...  /What a lazy answer!","Portrait: !p1101!e00","","29","30","1"
"あはは……。/聞きたいわね。","Ahaha...  /I'd like to hear.","Portrait: !p0000!e00","","27","28","1"
"あはは！/どこで覚えてきたのよ？/そんな言葉遣い。","Ahaha ! /Where did you learn  /to talk like that?","Portrait: !p0501!e00","","48","49","1"
"あはは！/何よ、それ！","Ahaha ! /What's that !","Portrait: !p0000!e00","","21","22","1"
