"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"つらい思い出しかない山ですが、/今となっては無性に懐かしい……。","A mountain with only hard memories,/but now I'm strangely nostalgic...","Portrait: !p1300!e00","","63","63","0"
"では、先輩、/また後で……。","Well then, senpai,/later...","Portrait: !p1500!e00","","27","26","0"
"でも、/それはバツたちに否定された……","But that was denied/by Batsu and others...","Portrait: !p0000!e00","","37","37","0"
"では、お待ちかね！/単位ポイントの順位を見てみましょう！","Now, as promised!/Let's see the Credit rankings!","Portrait: !p1800!e00","","55","47","0"
"でも……今、ミーは迷ってマス。/予定通りステイツに帰るか、/それとも……。","But... right now, I'm conflicted./Return to the States as planned, or...","Portrait: !p0803!e00","","72","68","0"
"でしょう？/どんなに教材の通りにやってみても、/脚から火なんて出ないもの。","Right?/No matter how you follow the book,/fire won't come from legs.","Portrait: !p1803!e00","","72","64","0"
"でも、もう少し早く産まれてたら、/先生と一緒に高校生活が送れたのにな……。","But if I'd been born earlier,/could've spent high school with sensei...","Portrait: !p0000!e00","","73","66","0"
"つきあってくれてアリガト！！/またね！","Thanks for coming with me!!/See you!","Portrait: !p0201!e00","","37","37","0"
"でも、そんなものかもね。","But maybe that's how it is.","Portrait: !p0500!e00","","24","26","2"
"でも、ワタシの目の前で/イチャイチャしたら、後でヒドイわよ！/覚えときなさい！","But get lovey-dovey in front of me,/you'll regret it!/Remember that!","Portrait: !p2103!e00","","76","64","0"
"でも、/やっぱり得手不得手が/あるのは仕方ないですよ。","But having strengths and weaknesses/can't be helped.","Portrait: !p0000!e00","","52","52","0"
