"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"あ、将馬。/道の真ん中で何やってるの？","Ah, Shoma. /What are you doing there?","Portrait: !p0000!e00","","37","37","0"
"あ、やっぱり学園祭の日でも/朝練したんだ。","Ah, you practiced even /on festival day.","Portrait: !p0000!e00","","41","40","0"
"あ、ロベルトとまりがいる。/何を話してるんだ……？","Ah, Roberto and Mari. /What are they talking about...?","Portrait: !p0000!e00","","49","49","0"
"あぁ……、困ったなぁ……。/原稿が間に合わないわ……。","Aah... I'm in trouble... /The manuscript won't make it...","Portrait: !p2100!e00","","53","53","0"
"あぁ……恭介、/あの調査書の中身って……","Aah... Kyosuke, /about that report...","Portrait: !p0000!e00","","39","36","0"
"あ、イヤ、そういう意味で/いったんじゃないですよ！/思ったより風流だなぁって……。","Ah, no, I didn't mean /it that way! /Just thought it was elegant...","Portrait: !p0000!e00","","80","68","0"
"あ、ゆりかさん。/いやぁ、楽器がいっぱい置いてあったんで、/キレイだなと思って見てたんです。","Ah, Yurika-san. /There were lots of instruments, /so I was admiring them.","Portrait: !p0000!e00","","90","74","0"
"あ、ゆりかさん。/楽器がいっぱい置いてあったんで、/キレイだなと思って見てたんですよ。","Ah, Yurika-san. /There were lots of instruments, /so I was admiring them.","Portrait: !p0000!e00","","84","74","0"
"あ、ロベルトとまりちゃんがいる。/何を話してるのかしら……？","Ah, Roberto and Mari-chan. /What are they talking about...?","Portrait: !p0000!e00","","59","58","0"
"あ、将馬。/何してるの？","Ah, Shoma. /What are you doing?","Portrait: !p0000!e00","","23","23","0"
"あ、醍醐先輩！/たいやきを買ってきたんですよ。/醍醐先輩も食べます？","Ah, Daigo-senpai! /I got taiyaki. /Want some, Daigo-senpai?","Portrait: !p0000!e00","","66","58","0"
"あぁん？/苦手だァ！？/それでも言い訳のつもりか！","What?! /You're bad at it?! /Is that your excuse?!","Portrait: !p2003!e00","","48","48","0"
"あ、!0！/待ってたんだよ。","Ah, !0! /I was waiting.","Portrait: !p1100!e00","","25","23","0"
"「聖女」っていっても、/「聖純女学院」の意味だよ。/勘違いした？","'Saint' just means /'Seijun Girls' Academy'. /Misunderstood?","Portrait: !p0000!e00","","62","55","0"
"あ、醍醐先輩！/たいやきを買ってきたんですよ。/醍醐先輩も食べますか？","Ah, Daigo-senpai! /I got taiyaki. /Want some, Daigo-senpai?","Portrait: !p0000!e00","","68","58","0"
"あぁ……委員長か。/今日はどうしたんだ？","Aah... Chairperson. /What's up today?","Portrait: !p0000!e00","","39","37","0"
"あ、!0せんぱぁい！/テニス部のみんなで、/お化け屋敷をするんですぅ。","Ah, !0-senpaaai! /The tennis club is doing /a haunted house!","Portrait: !p2401!e00","","66","58","0"
"『キャンプファイアーで１人たたずむ/　謎の女たち！』の特集ページに/　載せてあげるから！","I'll put you in a feature: /'Mysterious women alone /at the campfire!'","Portrait: !p2101!e00","","86","71","0"
"あ、そうか。/普通のお祭りみたいな気分だったから、/そんな風に思わなかったな。","Ah, I see. /It felt like a regular festival, /so I didn't think that way.","Portrait: !p0000!e00","","76","73","0"
"あぁ……委員長。/今日はどうしたの？","Aah... Chairperson. /What's up today?","Portrait: !p0000!e00","","35","35","0"
"あ、そっか！/もう１回見てくる！","Ah, got it! /I'll check again!","Portrait: !p0501!e00","","31","29","0"
"あ、英雄先生！/見に来てくれたんですね！","Ah, Shimazu-sensei! /You came to see!","Portrait: !p0000!e00","","39","38","0"
"あ〜ぁ、/硬派で通した外道高校も/もうオシマイだな！","Aww, /Gedokou High's tough image /is finished!","Portrait: !p0000!e00","","50","46","0"
"あ、!0か。/まぁアレ見てみろよ。","Ah, !0. /Well, look at that.","Portrait: !p0400!e00","","31","28","0"
"あ、!0！/成績トップだったんだってね。/さすがだね。","Ah, !0! /I heard you got top grades. /Impressive.","Portrait: !p1101!e00","","50","48","0"
"あ、いや……、/小学生って……。","Ah, no... /Elementary schoolers...","Portrait: !p0000!e00","","31","31","0"
"あ、なるほどな。/そりゃそうだ。/兄貴だって努力してたもんなぁ。","Ah, I see. /Makes sense. /My brother worked hard too.","Portrait: !p0401!e00","","62","52","0"
"あ、将馬。/そんなトコロでボーッとして/どうしたの？","Ah, Shoma. /What are you doing, /spacing out there?","Portrait: !p0000!e00","","50","50","0"
"あ、私、/これから探しに行くから！/じゃね！！","Ah, I'm going to look now! /See ya!!","Portrait: !p0200!e00","","44","37","0"
"ああ……。/総番長が今年もゲド高にいるのは/ウレシイんだが……","Ah... /I'm happy the boss is at /Gedokou again, but...","Portrait: !p1000!e00","","60","54","0"
"『アメリカン晴れ』？/そんなのはないんじゃない？","'American clear'? /That doesn't exist, does it?","Portrait: !p0000!e00","","47","45","0"
"あぁ、もう決まってるよ。","Aah, it's already decided.","Portrait: !p0000!e00","","24","24","0"
"あ……！/今の話、お互い夏には黙っておこうね。/ヒドイ目にあわされちゃうかも……。","A...! /Let's keep quiet from Natsu. /We might get in trouble...","Portrait: !p0000!e00","","80","61","0"
"ああ……あれだけ頑張ったのに、/成績はイマイチだったからなぁ……","Ah... Even though I worked hard, /my results weren't great...","Portrait: !p0000!e00","","63","56","0"
"ああ、!0か。/いやーちょっとな。夏がヒマなんだったら/バレー部の仕事を手伝えってうるさくって。","Ah, !0. /Natsu keeps bugging me /to help with volleyball club.","Portrait: !p0402!e00","","92","60","0"
