"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"ねぇ、ザキ！/何見てるの？","Hey, Zaki ! /What're you looking at?","Portrait: !p0000!e00","","25","36","11"
"のう、!0さん！/毎日が学園祭だったらいいと思わんか？","Hey,  !0-san! /Wouldn't it be nice/if every day was a fest?","Portrait: !p1200!e00","","51","59","8"
"のう、!0！/毎日が学園祭だったらいいと思わんか？","Hey,  !0! /Wouldn't it be nice/if every day was a fest?","Portrait: !p1200!e00","","47","55","8"
"ねぇ、アキラ、/ザキと一緒にいるときって、/何を話すの？","Hey, Akira, /when you're with Zaki, /what do you talk about?","Portrait: !p0000!e00","","54","60","6"
"ねぇ、ランちゃん。/プールで何してるの？","Hey, Ran-chan./What're you doing at the pool?","Portrait: !p0000!e00","","39","45","6"
"ねぇ、夏！/バレー部って、/学園祭で何やるんだっけ？","Hey, Natsu! /What's volleyball club /doing for the fest?","Portrait: !p0000!e00","","50","56","6"
"ねぇ、!0。/暇だったら、学園祭を一緒に/見て回らない？","Hey,  !0. /If free, wanna look around /the fest together?","Portrait: !p1100!e00","","52","57","5"
"ねぇ、流先輩！","Hey, Nagare-senpai!","Portrait: !p0000!e00","","14","19","5"
"ねぇ。例えばよ、/幼なじみの男の子と女の子が/いたとするの。","Hey. Suppose there's a boy and girl /who are childhood friends.","Portrait: !p0503!e00","","58","63","5"
"ねぇ！/どこ行くのよ、アキラ！","Hey ! /Where're you going, Akira !","Portrait: !p0000!e00","","29","34","5"
"なんとか断る/他の人を推薦する/喜んで行く","Somehow decline /Recommend someone/Gladly go","Portrait: !pffff!e00","","40","44","4"
"なんとかっていわれても……","Even if you say 'somehow'...","Portrait: !p0000!e00","","26","28","2"
"ねぇ、!0君。/購買部の一文字さんって、/バツ君のお母さんなんでしょ？","Hey,  !0-kun. /Ichimonji-san at the store is/Batsu-kun's mom, right?","Portrait: !p1800!e00","","66","68","2"
"ねぇ！　ランちゃん！/何見てるのよ！/私にも見せてよ！","Hey ! Ran-chan! /What're you looking at!/Show me too !","Portrait: !p0000!e00","","52","54","2"
"ねぇ、アキラ、/女子校に行ってどう？/楽しい？","Hey, Akira, /how's girls' school? /Is it fun?","Portrait: !p0000!e00","","44","45","1"
"ねえねえ、!0、/おかしいんだよ。","Hey hey,  !0, something's weird.","Portrait: !p1101!e00","","31","32","1"
