"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"どうして、戦ったのだ？/俺への挑戦だったはずだが……。","Why did you fight?/It was supposed to be a challenge to me…","Portrait: !p1900!e00","","53","60","7"
"どさくさに紛れて、何好き勝手なこと/いってんのよ！","Taking advantage of the chaos,/saying whatever you want!","Portrait: !p2103!e00","","49","56","7"
"どうだか？/女の子にデレデレしたりしてさ！","How about it? /Getting lovey-dovey with girls!","Portrait: !p0000!e00","","41","46","5"
"どうせロクなことしてないから、/昔の方がイイはずもないし。","Not doing anything good anyway, /so the past can't be better.","Portrait: !p0000!e00","","57","61","4"
"どうしたの急に？","What's up suddenly?","Portrait: !p0000!e00","","16","19","3"
"どうしたんです、醍醐先輩？/恐い顔して……。","What's wrong, Daigo-senpai? /That scary face…","Portrait: !p0000!e00","","43","46","3"
"どうしたんですか？/流先輩！","What's wrong? /Nagare-senpai！","Portrait: !p0000!e00","","27","30","3"
"どうしたんだ、夏？/難しい顔して。","What's up, Natsu? /Looking serious.","Portrait: !p0000!e00","","33","35","2"
"どうしたんですか、醍醐先輩！/しっかりしてください！","What's wrong, Daigo-senpai！/Pull yourself together！","Portrait: !p0000!e00","","51","53","2"
"どうせロクなことしてないから、/昔の方がイイはずもないしね。","Not doing anything good anyway, /so the past can't be better.","Portrait: !p0000!e00","","59","61","2"
"どうだ？/一緒に行くか？","How about it? /Come with?","Portrait: !p1001!e00","","23","25","2"
"どうしたの将馬？","What's up, Shoma?","Portrait: !p0000!e00","","16","17","1"
