"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"それがね、/学園祭で忙しくなる前にって/この前、たくさん用意してたの！","About that, /before the festival got busy, /I prepared lots!","Portrait: !p0201!e00","","66","58","0"
"それがね、/学園祭で忙しくなる前にって/この前、たくさん用意してたんだよ！","About that, /before the festival got busy, /I prepared lots!","Portrait: !p0201!e00","","72","58","0"
"それが、相撲部の佐渡先生も/応援に来てくれるらしいんだ。/俺たちもその応援席で観戦できるのさ。","Sado-sensei from the sumo club /is coming to cheer too. /We can watch from the stands.","Portrait: !p2700!e00","","94","84","0"
"それからさ、/プールとサッカー場の間に/畑があるんだよ。","Also, /between the pool and soccer field, /there's a farm.","Portrait: !p0000!e00","","52","51","0"
"それから、/プールとサッカー場の間に/畑があるの。","Also, /between the pool and soccer field, /there's a farm.","Portrait: !p0000!e00","","48","51","0"
"それがわからないの。/でもとにかく、新聞部に届けて欲しいの！/これ以上、説明してる暇はないわ！","I don't know. /Anyway, deliver to the newspaper club! /No time to explain more!","Portrait: !p2100!e00","","86","80","0"
"それが、相撲部の佐渡先生も/応援に来てくれるらしいの。/私たちもその応援席で観戦できるのよ。","Sado-sensei from the sumo club /is coming to cheer too. /We can watch from the stands.","Portrait: !p2700!e00","","96","84","0"
"それからね、/プールとサッカー場の間に/畑があるの。","Also, /between the pool and soccer field, /there's a farm.","Portrait: !p0000!e00","","52","51","0"
"それがわからないの。/でもとにかく、新聞部に届けて欲しいの！/これ以上、説明してる暇はないの！","I don't know. /Anyway, deliver to the newspaper club! /No time to explain more!","Portrait: !p2100!e00","","88","80","0"
"それから、/「おみくじ」と「どきどきカード」に/注意して欲しいのよ。","Also, watch out for /'Fortune' and 'Heart-Pounding Card'.","Portrait: !p0000!e00","","62","52","0"
"それから、隣の部屋は/学長室という名称だけど、/学園長室と思ってね。","Also, the next room /is called Principal's Office, /but think of it as Dean's Office.","Portrait: !pffff!e00","","68","68","0"
"それじゃ、/心の準備ができたところで/特訓を始めようか。","Well then, /now that you're ready, /let's begin training.","Portrait: !p0600!e00","","54","54","0"
"それじゃ、遠慮なくもらっちゃうよ。","Then I'll take it without hesitation.","Portrait: !p0000!e00","","37","37","0"
"それじゃあ行くぜ！/ビシビシいくから、覚悟しとけよ！","Let's go! /I'm going hard, so be ready!","Portrait: !p0601!e00","","48","39","0"
"それでも、/とにかくやってみて、ですよ！","Even so, /just try it!","Portrait: !p0000!e00","","37","22","0"
"それでも、やってみる価値は/あると思うの。","Even so, I think it's /worth trying.","Portrait: !p0000!e00","","37","36","0"
"それでも、やってみる価値は/あると思うぞ。","Even so, I think it's /worth trying.","Portrait: !p0000!e00","","39","36","0"
"それっぽいもの……。/地図の記号って、他に何があるかな？","Something like that... /What other map symbols are there?","Portrait: !p0000!e00","","52","51","0"
"それと、!c01エントリー画面!c07の横にある/ダイスの目は、/最初の移動量に少しだけ+されるよ。","Also, the dice on !c01Entry Screen!c07 /adds a bit to /initial movement.","Portrait: !p1800!e00","","88","68","0"
"それとも、委員長に/こづかい少ないとか言われた？","Or did Chairperson say /your allowance is low?","Portrait: !p0000!e00","","45","42","0"
"それなら俺にいい考えがある。/今日はとことん遊んで、/ストレス発散しようぜ！","I have a good idea. /Let's have fun all day /and relieve stress!","Portrait: !p0101!e00","","70","62","0"
"それなら俺にいい考えがあるぜ。/今日はとことん遊んで、/ストレス発散しようぜ！","I have a good idea. /Let's have fun all day /and relieve stress!","Portrait: !p0101!e00","","74","62","0"
"それなら私にいい考えがあるわ。/今日はとことん遊んで、/ストレス発散しようよ！","I have a good idea. /Let's have fun all day /and relieve stress!","Portrait: !p0000!e00","","74","62","0"
"それなら、/ゲームの中の「彼女」を/まず落としてみな。","Then try winning over /the 'girlfriend' in the game first.","Portrait: !p0000!e00","","50","50","0"
"それにしても、学園祭の準備、/大変だったねぇ。/本番はがんばらないとね。","Even so, festival prep was tough. /Gotta do our best in the main event.","Portrait: !p0301!e00","","68","68","0"
"それに相撲部にいれば、/食べ放題だからな。","Plus in sumo club, /there's all-you-can-eat.","Portrait: !p0000!e00","","41","41","0"
"それに、/女に負けたら恥ずかしいじゃないか。/男の意地って奴かな。","Plus, it's embarrassing /to lose to a girl. /Male pride, I guess.","Portrait: !p0200!e00","","66","64","0"
"それにしても九郎ってばお肌がスベスベね！/いい入浴剤でもつかってるの？","Kuro's skin is so smooth! /Using nice bath additives?","Portrait: !p0000!e00","","66","52","0"
"それに一度つまらないと思ってしまうと、/どこを見ても楽しく感じない/事ってあるでしょ。","Once you think it's boring, /nothing feels fun /wherever you look.","Portrait: !p0000!e00","","86","67","0"
"それにしても、学園祭の準備、/大変だったな。/本番はがんばらないとな。","Even so, festival prep was tough. /Gotta do our best in the main event.","Portrait: !p0301!e00","","66","68","0"
"それはよかった！/やっぱり友達ってステキだと思うよ！","That's good! /Friends are wonderful!","Portrait: !p0000!e00","","47","37","0"
"それに俺は、/燃える学園生活を送っている/つもりだからな。","I think I'm living /a burning school life.","Portrait: !p0000!e00","","50","41","0"
"それはないと思いますよ。/とりあえずバツ先輩にも/聞いてみますね。","I don't think so. /I'll ask Batsu-senpai too.","Portrait: !p0000!e00","","60","45","0"
"それは「熱血」を選んでくれたね。/いい選択をしてくれた、/燃える学園生活を期待してるよ。","You chose 'Hot Blood'. /Good choice. /Expect a burning school life.","Portrait: !pffff!e00","","84","66","0"
"それに、他の女には興味ないしな……。/つきあうならお前みたいな/いい子がいいし……。","Plus, no interest in other girls... /If I date, I want /someone nice like you...","Portrait: !p0000!e00","","88","78","0"
"それに、他の男には興味ないしな……。/つきあうなら、お前みたいな/いい人がいいし……。","Plus, no interest in other guys... /If I date, I want /someone nice like you...","Portrait: !p0000!e00","","88","78","0"
"それに私は、/燃える学園生活を送っている/つもりよ。","I think I'm living /a burning school life.","Portrait: !p0000!e00","","48","41","0"
"それはないと思いますよ。/とりあえずバツ先輩にも/聞いてみてくださいね。","I don't think so. /Please ask Batsu-senpai too.","Portrait: !p0000!e00","","66","48","0"
"それに、こっちは嫌がる女の子を/押し倒しでもしたみたいで、/けっこうイメージダウンなんだよな。","Plus, it looks like I /pushed down an unwilling girl. /It's hurting my image.","Portrait: !p0000!e00","","94","76","0"
