"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"なぁ、九郎……。/お前が何を企んで、/この学校に来たのかは知らない。","Hey, Kuro.../I don't know what you're planning/by coming to this school.","Portrait: !p0000!e00","","66","72","6"
"なぁ、夏！/バレー部って、/学園祭で何やるんだっけ？","Hey, Natsu! /What's volleyball club /doing for the fest?","Portrait: !p0000!e00","","50","56","6"
"なぁに、夏？/屋上でサボリぃ？","What, Natsu?/Slacking on the roof?","Portrait: !p0000!e00","","29","34","5"
"な、何を急にいい出すんだ。/そんな話は、関係ないだろ？","W-what are you suddenly saying. /That's unrelated, right?","Portrait: !p0702!e00","","53","57","4"
"なぁ、アキラ、/ザキと一緒にいるときって、/何を話すんだ？","Hey, Akira, /when you're with Zaki, /what do you talk about?","Portrait: !p0000!e00","","56","60","4"
"なぁ……、/まり、いいだろ？","Hey.../Mari, it's fine, right?","Portrait: !p0601!e00","","27","30","3"
"なっ！/おかしいだろ？/どっか間違ってるだろ？","What! /That's weird, right? /Something's wrong?","Portrait: !p2303!e00","","44","47","3"
"な……、それでいいだろ？","Well… that's fine, right?","Portrait: !p0000!e00","","24","26","2"
"な、ナニも企んでないって！/私は、純粋に技をおぼえる為に……","I'm not plotting anything ! /I'm purely learning techniques…","Portrait: !p0000!e00","","59","61","2"
"なぁ、夏のツープラトン技を/俺にも教えてくれよ。","Hey, teach me Natsu's /Two-Platoon technique too.","Portrait: !p0000!e00","","47","49","2"
"なぁに、夏。/また１人で黄昏てんの？","What, Natsu./Daydreaming alone again?","Portrait: !p0000!e00","","35","37","2"
"な、何よ突然。","W-what? Sudden!","Portrait: !p0202!e00","","14","15","1"
"なぜなら、お前はあの技を/すでに使えるはずだからだ。","Because you should/already be able to use that move.","Portrait: !p1900!e00","","51","52","1"
