"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"（これを一般人が食べたら、/　どんな事態が訪れるか……/　仕方ない……ええい！！）","(...if a normal person ate this, /what would happen... /can't be helped... here goes!!)","Portrait: !p0000!e00","","80","80","0"
"（さすがは、委員長……。/　私も見習わないと）","(...as expected, Chairperson... /I should learn too)","Portrait: !p0000!e00","","45","45","0"
"（あれ……結局、/　何のための質問だったんだ？）","(...what... in the end, /what was the question for?)","Portrait: !p0000!e00","","47","47","0"
"（さすがだな、委員長……。/　俺も見習わないと）","(...as expected, Chairperson... /I should learn too)","Portrait: !p0000!e00","","47","45","0"
"（き、聞かなかったふり……/　さっさと、どこか行こう……）","(...pretend I didn't hear... /let's go somewhere quickly...)","Portrait: !p0000!e00","","57","57","0"
"（あっ、委員長……）","(...ah, Chairperson...)","Portrait: !p0000!e00","","20","20","0"
"（あれ……結局、/　何のための質問だったのかな？）","(...what... in the end, /what was the question for?)","Portrait: !p0000!e00","","49","47","0"
"（このままじゃ風邪ひいちゃうから、/　何か羽織るものを探して……）","(...will catch a cold like this, /looking for something to wear...)","Portrait: !p0000!e00","","65","65","0"
"（このままじゃ風邪ひくだろうから、/　何か羽織るものを探して……）","(...will catch a cold like this, /looking for something to wear...)","Portrait: !p0000!e00","","65","65","0"
"（き、聞かなかったふり……/　さっさと、どこか行こっと……）","(...pretend I didn't hear... /let's go somewhere quickly...)","Portrait: !p0000!e00","","59","57","0"
"（あっ、委員長……。/　……仕方ないか。/　今度はちゃんと手伝ってあげよう……）","(...ah, Chairperson... /...can't be helped. /I'll help properly next time...)","Portrait: !p0000!e00","","78","78","0"
