"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"となりのテニス部は、/部室でお化け屋敷を/やってるみたいだけど……","The tennis club next door /seems to be doing a haunted house /in their club room...","Portrait: !p0503!e00","","64","83","19"
"どうかしてるのは、ザキの方だよ。/顔が真っ赤だよ。","Zaki's the one acting strange. /His face is bright red.","Portrait: !p0000!e00","","49","55","6"
"でもそれって、/ケガ人が急に来た時とか困りませんか？","But isn't that a problem /if someone gets hurt suddenly?","Portrait: !p0000!e00","","51","56","5"
"どうしたの、夏？/難しい顔して。","What's up, Natsu? /Looking serious.","Portrait: !p0000!e00","","31","35","4"
"どうしたの、岩？/急に黙っちゃって……。","What's up, Iwa? /You went quiet suddenly...","Portrait: !p0000!e00","","39","43","4"
"ところで、/ももちゃんの作ったお化け屋敷の道具が/どんなのか見せて欲しいな。","By the way, /I'd like to see the props /Momo-chan made for the haunted house.","Portrait: !p0000!e00","","74","77","3"
"でも、私は一緒に行く相手も/いないのよね。","But I don't have anyone /to go with either.","Portrait: !p0000!e00","","41","43","2"
"でも、醍醐先輩！","But Daigo-senpai!","Portrait: !p0000!e00","","16","17","1"
"ところで、/ももの作ったお化け屋敷の道具が/どんなのか見せてよ。","By the way, show me the props /Momo made for the haunted house.","Portrait: !p0000!e00","","62","63","1"
"どうしたの、九郎？/今、すごく恐い顔してたよ……。","What's up, Kuro? /You had a scary look just now...","Portrait: !p0000!e00","","49","50","1"
