"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"ＣＰＵ対戦の結果によっては、/大逆転も起こるわよ。気を抜かないでね！","Depending on CPU battle results, /big reversals can happen. Don't let your guard down!","Portrait: !p1801!e00","","67","86","19"
"２人とも遅刻した/２人の演奏で観客全員が寝た/２人とも１位をとった","Both were late/ Both fell asleep during performance/ Both got 1st place","Portrait: !pffff!e00","","64","71","7"
"３年になったら、もっとすごいものに/換えるつもりなんじゃ！/ガハハハ！","When I'm a third-year, planning to /upgrade to something amazing! /Gahaha!","Portrait: !p1201!e00","","68","74","6"
"（雹さんの表情が、/　さっきまでとは変わって/　少し明るく見える……気がする）","(...Hail-san's expression /changed from before, /looks a bit brighter... I think)","Portrait: !p0000!e00","","76","81","5"
"（雹クンの表情が、/　さっきまでとは変わって/　少し明るく見える……気がする）","(...Hail-kun's expression /changed from before, /looks a bit brighter... I think)","Portrait: !p0000!e00","","76","81","5"
"（雹クン……/　本当に何かをするつもり？）","(...Hail-kun... /really planning something?)","Portrait: !p0000!e00","","41","44","3"
"（雹クン……/　やっぱり怪しい生徒会だわ……）","(...Hail-kun... /suspicious student council...)","Portrait: !p0000!e00","","45","47","2"
"（雹クン……）","(...Hail-kun...)","Portrait: !p0000!e00","","14","16","2"
"２−Ｃって……、/聖純女学院の教室じゃない。/誰にあげるの？","2-C... /that's Seijun classroom. /Who are you giving it to?","Portrait: !p0000!e00","","58","59","1"
"ＣＰＵ戦の順位に合せて、/単位ポイントにボーナスが入るわよ。","Based on CPU battle ranking, /bonus Credit Points are added.","Portrait: !p1801!e00","","59","60","1"
