"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"さてと、/いまごろみんなは/キャンプファイアーか。","Well then,/everyone's probably/at the campfire now.","Portrait: !p0000!e00","","48","47","0"
"さくらちゃん、/最近どうしてるかなぁ……","Wonder how Sakura-chan/has been lately...","Portrait: !p0200!e00","","39","38","0"
"させないわ！","I won't allow it!","Portrait: !p1103!e00","","12","17","5"
"さっきの音は、/ももがガラスを割った音なんだろ？","That sound earlier,/Momo broke glass, right?","Portrait: !p0000!e00","","47","42","0"
"さてと、/いまごろみんなは/キャンプファイアーね……。","Well then,/everyone's at/the campfire now...","Portrait: !p0000!e00","","52","42","0"
"じゃ、失礼するよ、/!0。/またあとでな！","Well, excuse me,/!0./See you later!","Portrait: !p0700!e00","","38","35","0"
"さわさわ……/（うんうん）","Rustle rustle.../nod nod","Portrait: !p0000!e00","","25","22","0"
"さすが、!0！/じゃあ、決まりだな！/後で誘いに行くから待ってろよ！","As expected, !0!/It's decided!/I'll invite you later, wait!","Portrait: !p0601!e00","","64","57","0"
"しかたねぇな……/何なら今ここで/輸血してもらえばどうだ？","Can't be helped.../How about a transfusion/right here?","Portrait: !p2001!e00","","56","53","0"
"さっき、ももちゃんは金魚すくいをしに/プールまでいったんですぅ！/そしたら……","Momo-chan went to the pool/for goldfish scooping!/And then...","Portrait: !p2403!e00","","76","60","0"
"さて、決勝は/!0と!1の対戦よ！","Now, finals are/!0 vs !1!","Portrait: !p1800!e00","","29","26","0"
"しっかり稼いできたら？","How about earning well?","Portrait: !p0000!e00","","22","22","0"
"してる！　今も！","I am! Right now!","Portrait: !p0000!e00","","16","16","0"
"しゃ、写真になんか撮って、/どうすんだい……？","W-what'll you do/taking photos...?","Portrait: !p2303!e00","","45","35","0"
