"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"隼人先生みたいに、/生徒と正面から組み合えるような/熱血教師になりたいなって。","Want to be a hot-blooded teacher/who can face students head-on/like Hayato-sensei.","Portrait: !p0000!e00","","76","76","0"
"風間醍醐の力をいま一度示して、/総番長の名を再び/とどろかせるべきです！","Show Kazama Daigo's power again/and make the boss name/resound once more!","Portrait: !p0000!e00","","70","70","0"
"雹クン……/何か用なの？","Hail-kun.../need something?","Portrait: !p0000!e00","","23","25","2"
"雹クン……/学園祭の間も/剣を持って歩いてるの？","Hail-kun.../walking with a sword/during the fest?","Portrait: !p0000!e00","","46","45","0"
"霧嶋家の人間は皆、/ある組織から与えられた任務を/全うするためだけの存在。","All Kirishima members/exist only to fulfill/missions from an organization.","Portrait: !p2503!e00","","72","70","0"
"隼人先生……","Hayato-sensei...","Portrait: !p0000!e00","","12","15","3"
"雹さん……/何か用ですか？","Hail-san.../need something?","Portrait: !p0000!e00","","25","25","0"
"雹のツープラトン技/!c03『残酷斬』!c07を覚えた！","Got Hail's Two-Platoon/!c03'Cruel Slash'!c07!","Portrait: !pffff!e00","","47","42","0"
"響子のツープラトン技/!c03『究極の矯正術』!c07を覚えた！","Got Kyoko's Two-Platoon/!c03'Ultimate Correction'!c07!","Portrait: !pffff!e00","","55","50","0"
"雹クンって、/今年も生徒会長なの？","Hail-kun,/council president again?","Portrait: !p0000!e00","","33","33","0"
"響子先生……","Kyoko-sensei...","Portrait: !p0000!e00","","12","13","1"
"針ならまだしも、/槍を飲むのはイヤだなぁ。/判ったよ、ティファニー。","Needles are fine, but/swallowing spears is bad./Got it, Tiffany.","Portrait: !p0000!e00","","66","62","0"
"阻止しますよ、何としてでも。","I'll stop it, no matter what.","Portrait: !p0000!e00","","28","28","0"
"隼人のツープラトン技/!c03『熱血気合砲』!c07を覚えた！","Got Hayato's Two-Platoon/!c03'Spirit Cannon'!c07!","Portrait: !pffff!e00","","53","47","0"
"駄目じゃない、ももちゃん！","You're not bad, Momo-chan!","Portrait: !p0000!e00","","26","25","0"
