"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"こういった場合、第三者を装いつつ/もっとも事件に近い人物が怪しい。/それは……お前だ、恭介！！","In such cases, the one closest /to the incident is suspicious. /That's... you, Kyosuke!!","Portrait: !p0000!e00","","92","90","0"
"こういった場合、第三者を装いつつ/もっとも事件に近い人物が怪しいのよ。/それは……あなたよ、恭介！！","In such cases, the one closest /to the incident is suspicious. /That's... you, Kyosuke!!","Portrait: !p0000!e00","","98","90","0"
"こないだからず〜っと忘れててよ。/今日持ってこなかったら、/学園祭に参加させねぇとか言いやがってな。","I kept forgetting it. /If I didn't bring it today, /they wouldn't let me join the festival.","Portrait: !p0103!e00","","98","92","0"
"お待たせ！　!0！","Sorry for the wait! !0!","Portrait: !p1101!e00","","16","16","0"
"この技に必要なのは、/足腰のパワーと回転するスピード。/そして、一番重要なのが……。","This technique needs /leg power and spin speed. /And most importantly...","Portrait: !p0700!e00","","82","72","0"
"かまやしねぇって！/何が書いてあるかわかりゃオッケーだろ。/じゃ!0、サンキューな！！","Don't worry about it! /As long as you can read it, it's fine. /Thanks, !0!!","Portrait: !p0101!e00","","82","76","0"
"きっと、聖純女学院でも/楽しくやっていけるさ。","I'm sure you can have fun /at Seijun Girls' Academy too.","Portrait: !p0000!e00","","45","45","0"
"きっと、聖純女学院でも/楽しくやっていけるよ。","I'm sure you can have fun /at Seijun Girls' Academy too.","Portrait: !p0000!e00","","45","45","0"
"ここでは特別に、普段手に入りにくい/カードを３枚あげるわ。/大事に使ってね。","Here I'll give you 3 rare cards. /Use them wisely.","Portrait: !p2600!e00","","74","48","0"
"このコマンドに装備する技を/選択できます","You can select a move to equip.","Portrait: !pffff!e00","","39","32","0"
"お願い、いかないで……。/またしばらく、こっちには/これないんでしょ？","Please, don't go... /You won't be able to come here /for a while, right?","Portrait: !p0000!e00","","68","68","0"
"こ、これは不幸の写真だから、/見ない方がいいわよ！/そ、そうよ！　そうなのよ！","T-this is an unlucky photo, /so don't look! /T-that's right! Yes!","Portrait: !p2102!e00","","76","66","0"
"ここが相手の弱点よ！","This is the opponent's weak point!","Portrait: !p1800!e00","","20","20","0"
"この気持ちが揺るがない限り、/転校する事はないだろうね。","As long as this feeling stays, /I won't transfer.","Portrait: !p0301!e00","","55","48","0"
"このゲームの勝利条件は、/!c02単位ポイント!c07をどれだけ集めたかによって/決まるの。","Victory depends on /how many !c02Credit Points!c07 /you collect.","Portrait: !p1800!e00","","82","61","0"
"こっちに……戻りたいか？","Do you want to come back...?","Portrait: !p0000!e00","","24","24","0"
