"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"アンタに黙って帰ったら、/家まで押しかけられそうだからねぇ。","If I went home without telling you, /you'd probably come to my house.","Portrait: !p2300!e00","","59","69","10"
"アーケード版、通信対戦、/敵は日本中にいるからな！","Arcade version, online battle,/enemies all over Japan!","Portrait: !p0000!e00","","49","54","5"
"アーケード版、通信対戦、/敵は日本中にいるもんね！","Arcade version, online battle,/enemies all over Japan!","Portrait: !p0000!e00","","49","54","5"
"エッジ！/何してるの？","Edge! /What're you doing?","Portrait: !p0000!e00","","21","25","4"
"エッジ、何か考えごと？","Edge, thinking something?","Portrait: !p0000!e00","","22","25","3"
"ウワァッ！！/き、恭介？/驚かすなよ。","Whoa! ! /K-Kyosuke? /Don't startle me.","Portrait: !p0000!e00","","36","38","2"
"エッジ、どこ行くの？","Edge, where you going?","Portrait: !p0000!e00","","20","22","2"
"エッジ！/何してるんだ？","Edge! /What're you doing?","Portrait: !p0000!e00","","23","25","2"
"エッジ、何か考えごとか？","Edge, thinking something?","Portrait: !p0000!e00","","24","25","1"
"オイ、!0。/これ見ろよ！","Hey,  !0. /Look at this!","Portrait: !p1000!e00","","23","24","1"
"オス、先生！！","Yes, sensei ! !","Portrait: !p0000!e00","","14","15","1"
