"japanese","english","context","notes"
"!0　　!c05＋２００!c07ポイント/!1　　!c05＋　７５!c07ポイント","!0　!c05+200!c07 Pts/ !1　!c05+ 75!c07 Pts","Portrait: !p1801!e00",""
"!2　　!c05＋　　８!c07ポイント","!2　!c05+  8!c07 Pts","Portrait: !p1801!e00",""
"!2　　!c05＋　　８!c07ポイント/!3　　!c05＋　　２!c07ポイント","!2　!c05+  8!c07 Pts/ !3　!c05+  2!c07 Pts","Portrait: !p1801!e00",""
"!c05＋　　８!c07ポイント","!c05+  8!c07 Pts","Color-coded menu/UI text",""
"!c05＋　　８!c07ポイント/!3　　!c05＋　　２!c07ポイント","!c05+  8!c07 Pts/ !3　!c05+  2!c07 Pts","Color-coded menu/UI text",""
"!c05＋２００!c07ポイント/!1　　!c05＋　７５!c07ポイント","!c05+200!c07 Pts/ !1　!c05+ 75!c07 Pts","Color-coded menu/UI text",""
"これで「燃えろ！　熱血青春日記」/　　　　　　　店頭体験版は終了です。/　　　　　　　製品版をお楽しみに！","This ends 'Burn! Hot-Blooded Youth Diary'/   in-store demo./   Enjoy the full version!","Portrait: !pffff!e00",""
"さて、冗談はさておき、/ここからはマジメは話だ。","Now then, jokes aside,/let's get serious.","Portrait: !p0700!e00",""
"は〜い、ここまで！/これは体験版だから、/ここで終了よ。続きは製品版でね!h","Okay, that's all!/This is a demo version,/so we end here. See you in the full game!h","Portrait: !p1800!e00",""
"…………","......","Portrait: !p0203!e00",""
"？","？","Portrait: !p0000!e00",""
"♪〜〜♪〜〜♪♪〜〜〜/♪〜♪♪〜〜〜〜♪♪♪〜〜♪〜♪〜","♪〜〜♪〜〜♪♪〜〜〜/♪〜♪♪〜〜〜〜♪♪♪〜〜♪〜♪〜","Portrait: !pffff!e00",""
"!0……。","!0...","Portrait: !p0400!e00",""
"…………。","......","Portrait: !p0502!e00",""
"…………！！","......！！","Portrait: !p0000!e00",""
"！！/…………。","！！/.........","Portrait: !p1803!e00",""
"……………………。","..............","Portrait: !p2102!e00",""
"校舎裏にいる野良猫に/エサでもやろうと思ってね。","I was gonna feed the /stray cat out back.","Portrait: !p2300!e00",""
"!0！！","!0！！","Portrait: !p1202!e00",""
"……………",".........","Portrait: !p0000!e00",""
"!0　ＶＳ．!1","!0　ＶＳ．!1","Portrait: !pffff!e00",""
"　","　","Portrait: !pffff!e00",""
