"japanese","english","context","notes"
"部活を引退した３年生も、/この日だけは戻ってくるからな。/みんな楽しみにしてるんだよ。","Retired third-years /come back just for this day./Everyone looks forward to it.","Portrait: !p0000!e00",""
"部活を引退した３年生も、/この日だけは戻ってくるからね。/みんな楽しみにしてるのよ。","Retired third-years /come back just for this day./Everyone looks forward to it.","Portrait: !p0000!e00",""
"醍醐から/!c02届け物『漢のガクラン』!c07をあずかった/!c01２−Ｇの教室!c07に届けよう！","Received delivery 'Man's Gakuran' from/Daigo, deliver to Class 2-G!","Portrait: !pffff!e00",""
"醍醐のツープラトン技/!c03『男の中の男』!c07を覚えた！","Got Daigo's Tag-team/!c03'Man Among Men'!c07 ！","Portrait: !pffff!e00",""
"醍醐兄さんったら、/鍛え直すとかいって/甘いものを食べないようにしてるの。","Daigo-nii says, /he's retraining, /so no sweets.","Portrait: !p1101!e00",""
"醍醐兄さんに、/お弁当を作ってきたんだ。","Made lunch /for Daigo-nii.","Portrait: !p1100!e00",""
"醍醐先輩……。","Daigo-senpai…","Portrait: !p0000!e00",""
"醍醐先輩……。/ありがとうございます。","Daigo-senpai…/thank you.","Portrait: !p0000!e00",""
"醍醐先輩、/俺、よく考えるんです。/どんな修行をすれば強くなれるのかって。","Daigo-senpai, /I often think./What training makes you stronger?","Portrait: !p0000!e00",""
"醍醐先輩って、/やっぱり、アキラと一緒に/住んでるんですよね……？","Daigo-senpai, /lives with Akira, right...?","Portrait: !p0000!e00",""
"醍醐先輩も、/学園祭で何かやるんですか？","Daigo-senpai, /doing something at fest?","Portrait: !p0000!e00",""
"醍醐先輩！/せっかくの学園祭なんだから、/店をのぞいてみませんか？","Daigo-senpai！/It's the festival, so/want to check out shops?","Portrait: !p0000!e00",""
"醍醐先輩！/醍醐先輩のツープラトン技を/俺にも教えてください！","Daigo-senpai！/Please teach me your Tag-team move！","Portrait: !p0000!e00",""
"醍醐先輩！/醍醐先輩のツープラトン技を/私にも教えてください！","Daigo-senpai！/Please teach me your Tag-team move！","Portrait: !p0000!e00",""
"醍醐先輩！？/もちろんです！/俺、俺……！！","Daigo-senpai！? /Of course！/I, I …！！","Portrait: !p0000!e00",""
"醍醐先輩！？/もちろんです！/私、私……！！","Daigo-senpai！? /Of course！/I, I …！！","Portrait: !p0000!e00",""
"野球部も、もうすぐ３年生が引退するし、/来年こそ、オイラもがんばらないとな。/目指せレギュラー、目指せ甲子園！　さ。","Baseball club third-years retire soon, /so, next year I'll work hard. /Aim for regular, aim for Koshien! Yeah.","Portrait: !p0400!e00",""
"金魚すくい/水泳部員と競泳/プールサイドで喫茶店","Goldfish scoop /Race swim club/Poolside cafe","Portrait: !pffff!e00",""
"針ならまだしも、/槍を飲むのはイヤだなぁ。/判ったよ、ティファニー。","Needles are fine, but /swallowing spears is bad./Got it, Tiffany.","Portrait: !p0000!e00",""
"針ならまだしも、/槍を飲むのはイヤだなぁ。/判ったわよ、ティファニー。","Needles are fine, but /swallowing spears is bad./Got it, Tiffany.","Portrait: !p0000!e00",""
"鍋を担いで/移動販売をしとるというわけだ。","Carrying a pot,/doing mobile sales.","Portrait: !p3000!e00",""
"鍋料理？/ロイ、鍋料理とか知ってるのか。","Hot pot?/Roy, you know hot pot?","Portrait: !p0000!e00",""
"鍋料理？/ロイ、鍋料理とか知ってるんだ。","Hot pot?/Roy, you know hot pot?","Portrait: !p0000!e00",""
"鎖がジャラジャラと、/こすれ合う音がするからな。","Chains jangling, /rubbing together.","Portrait: !p0000!e00",""
"鎖がジャラジャラと、/こすれ合う音がするからね。","Chains jangling, /rubbing together.","Portrait: !p0000!e00",""
"関係なくなんかないですぅ！","It's not unrelated!","Portrait: !p2403!e00",""
"阻止しますよ、何としてでも。","I'll stop it, definitely.","Portrait: !p0000!e00",""
"阻止するわ。/何としてでもね。","I'll stop it no matter what.","Portrait: !p0000!e00",""
"随分と疲れ果てているな。/大方、成績がふるわなかったとかで、/落ち込んでいるのではないか？","Quite exhausted./Probably grades weren't good, /and feeling down?","Portrait: !p1600!e00",""
"隠れとこ……。/くわばらくわばら……。","Let's hide…/ward off evil…","Portrait: !p0000!e00",""
"隠れとこう……。/くわばらくわばら……。","Let's hide…/ward off evil…","Portrait: !p0000!e00",""
"隼人から/!c02届け物『差し入れの氷柱』!c07をあずかった/!c01２−Ａの教室!c07に届けよう！","Received delivery 'Ice Pillar Snack'/from Hayato, deliver to Class 2-A!","Portrait: !pffff!e00",""
"隼人のツープラトン技/!c03『熱血気合砲』!c07を覚えた！","Got Hayato's Tag-team/!c03'Spirit Cannon' !c07！","Portrait: !pffff!e00",""
"隼人先生……","Hayato…","Portrait: !p0000!e00",""
